date,close,ema10,ema55,ema200,dist_p10,dist_p55,dist_p200,slope10,slope55,slope200,dist_10_55,dist_55_200,ratio_armonico
1986-08-13 13:30:00,0.211,,,,,,,,,,,,
1986-08-14 13:30:00,0.223,,,,,,,,,,,,
1986-08-15 13:30:00,0.219,,,,,,,,,,,,
1986-08-18 13:30:00,0.211,,,,,,,,,,,,
1986-08-19 13:30:00,0.215,,,,,,,,,,,,
1986-08-20 13:30:00,0.215,,,,,,,,,,,,
1986-08-21 13:30:00,0.223,,,,,,,,,,,,
1986-08-22 13:30:00,0.223,,,,,,,,,,,,
1986-08-25 13:30:00,0.215,,,,,,,,,,,,
1986-08-26 13:30:00,0.215,0.217,,,-0.901,,,,,,,,
1986-08-27 13:30:00,0.215,0.216,,,-0.738,,,,,,,,
1986-08-28 13:30:00,0.207,0.215,,,-3.586,,,,,,,,
1986-08-29 13:30:00,0.207,0.213,,,-2.953,,,,,,,,
1986-09-02 13:30:00,0.223,0.215,,,3.548,,,,,,,,
1986-09-03 13:30:00,0.223,0.216,,,2.884,,,-0.177,,,,,
1986-09-04 13:30:00,0.25,0.223,,,12.349,,,2.808,,,,,
1986-09-05 13:30:00,0.246,0.227,,,8.504,,,5.624,,,,,
1986-09-08 13:30:00,0.242,0.23,,,5.481,,,7.628,,,,,
1986-09-09 13:30:00,0.25,0.233,,,7.153,,,8.504,,,,,
1986-09-10 13:30:00,0.262,0.238,,,9.746,,,10.195,,,,,
1986-09-11 13:30:00,0.23,0.237,,,-2.764,,,6.516,,,,,
1986-09-12 13:30:00,0.234,0.237,,,-0.915,,,4.291,,,,,
1986-09-15 13:30:00,0.258,0.24,,,7.24,,,4.706,,,,,
1986-09-16 13:30:00,0.27,0.246,,,9.698,,,5.311,,,,,
1986-09-17 13:30:00,0.289,0.254,,,13.99,,,6.336,,,,,
1986-09-18 13:30:00,0.289,0.26,,,11.162,,,9.711,,,,,
1986-09-19 13:30:00,0.289,0.265,,,8.951,,,12.165,,,,,
1986-09-22 13:30:00,0.277,0.268,,,3.679,,,11.27,,,,,
1986-09-23 13:30:00,0.27,0.268,,,0.62,,,9.022,,,,,
1986-09-24 13:30:00,0.273,0.269,,,1.694,,,6.032,,,,,
1986-09-25 13:30:00,0.266,0.268,,,-0.993,,,3.174,,,,,
1986-09-26 13:30:00,0.266,0.268,,,-0.814,,,0.939,,,,,
1986-09-29 13:30:00,0.27,0.268,,,0.526,,,0.231,,,,,
1986-09-30 13:30:00,0.27,0.268,,,0.43,,,0.189,,,,,
1986-10-01 13:30:00,0.27,0.269,,,0.352,,,-0.11,,,,,
1986-10-02 13:30:00,0.27,0.269,,,0.288,,,0.174,,,,,
1986-10-03 13:30:00,0.27,0.269,,,0.235,,,0.408,,,,,
1986-10-06 13:30:00,0.273,0.27,,,1.377,,,0.598,,,,,
1986-10-07 13:30:00,0.273,0.27,,,1.124,,,0.754,,,,,
1986-10-08 13:30:00,0.273,0.271,,,0.918,,,0.881,,,,,
1986-10-09 13:30:00,0.273,0.271,,,0.75,,,0.984,,,,,
1986-10-10 13:30:00,0.273,0.272,,,0.612,,,1.069,,,,,
1986-10-13 13:30:00,0.277,0.273,,,1.671,,,1.135,,,,,
1986-10-14 13:30:00,0.277,0.274,,,1.363,,,1.189,,,,,
1986-10-15 13:30:00,0.277,0.274,,,1.112,,,1.233,,,,,
1986-10-16 13:30:00,0.277,0.275,,,0.908,,,1.269,,,,,
1986-10-17 13:30:00,0.277,0.275,,,0.742,,,1.298,,,,,
1986-10-20 13:30:00,0.277,0.276,,,0.606,,,1.058,,,,,
1986-10-21 13:30:00,0.285,0.277,,,2.797,,,1.382,,,,,
1986-10-22 13:30:00,0.289,0.28,,,3.415,,,1.905,,,,,
1986-10-23 13:30:00,0.293,0.282,,,3.903,,,2.589,,,,,
1986-10-24 13:30:00,0.316,0.288,,,9.777,,,4.695,,,,,
1986-10-27 14:30:00,0.32,0.294,,,8.928,,,6.67,,,,,
1986-10-28 14:30:00,0.32,0.299,,,7.188,,,7.728,,,,,
1986-10-29 14:30:00,0.352,0.308,0.259,,13.988,35.617,,10.34,,,18.974,,
1986-10-30 14:30:00,0.371,0.32,0.263,,16.034,40.978,,13.424,,,21.498,,
1986-10-31 14:30:00,0.365,0.328,0.267,,11.327,36.858,,13.825,,,22.933,,
1986-11-03 14:30:00,0.352,0.332,0.27,,5.783,30.259,,13.019,,,23.138,,
1986-11-04 14:30:00,0.344,0.334,0.273,,2.79,26.131,,11.908,,,22.707,,
1986-11-05 14:30:00,0.34,0.335,0.275,,1.324,23.608,,8.749,6.058,,21.993,,
1986-11-06 14:30:00,0.348,0.338,0.278,,2.969,25.266,,5.571,5.435,,21.654,,
1986-11-07 14:30:00,0.352,0.34,0.28,,3.351,25.478,,3.686,4.986,,21.41,,
1986-11-10 14:30:00,0.359,0.344,0.283,,4.574,26.985,,3.404,4.858,,21.431,,
1986-11-11 14:30:00,0.359,0.347,0.286,,3.711,25.772,,3.617,4.844,,21.272,,
1986-11-12 14:30:00,0.359,0.349,0.288,,3.016,24.625,,4.01,4.884,,20.977,,
1986-11-13 14:30:00,0.355,0.35,0.291,,1.546,22.255,,3.68,4.766,,20.393,,
1986-11-14 14:30:00,0.359,0.352,0.293,,2.168,22.565,,3.406,4.652,,19.965,,
1986-11-17 14:30:00,0.355,0.352,0.295,,0.863,20.321,,2.552,4.391,,19.291,,
1986-11-18 14:30:00,0.348,0.352,0.297,,-1.11,16.938,,1.456,4.048,,18.251,,
1986-11-19 14:30:00,0.348,0.351,0.299,,-0.91,16.235,,0.572,3.722,,17.302,,
1986-11-20 14:30:00,0.348,0.35,0.301,,-0.746,15.565,,0.061,3.464,,16.433,,
1986-11-21 14:30:00,0.348,0.35,0.303,,-0.611,14.926,,-0.556,3.17,,15.632,,
1986-11-24 14:30:00,0.348,0.349,0.304,,-0.501,14.316,,-0.857,2.939,,14.892,,
1986-11-25 14:30:00,0.348,0.349,0.306,,-0.41,13.735,,-0.703,2.816,,14.203,,
1986-11-26 14:30:00,0.369,0.353,0.308,,4.652,19.875,,0.537,2.956,,14.546,,
1986-11-28 14:30:00,0.383,0.358,0.311,,6.871,23.244,,2.265,3.251,,15.321,,
1986-12-01 14:30:00,0.381,0.362,0.313,,5.116,21.633,,3.581,3.51,,15.713,,
1986-12-02 14:30:00,0.387,0.367,0.316,,5.443,22.476,,4.966,3.825,,16.154,,
1986-12-03 14:30:00,0.383,0.37,0.318,,3.553,20.326,,5.898,4.081,,16.197,,
