date,close,ema10,ema55,ema200,dist_p10,dist_p55,dist_p200,slope10,slope55,slope200,dist_10_55,dist_55_200,ratio_armonico
2018-04-30,0.865,,,,,,,,,,,,
2018-05-07,0.73,,,,,,,,,,,,
2018-05-14,0.699,,,,,,,,,,,,
2018-05-21,0.604,,,,,,,,,,,,
2018-05-28,0.69,,,,,,,,,,,,
2018-06-04,0.582,,,,,,,,,,,,
2018-06-11,0.526,,,,,,,,,,,,
2018-06-18,0.473,,,,,,,,,,,,
2018-06-25,0.462,,,,,,,,,,,,
2018-07-02,0.479,0.611,,,-21.597,,,,,,,,
2018-07-09,0.447,0.581,,,-23.13,,,,,,,,
2018-07-16,0.449,0.557,,,-19.483,,,,,,,,
2018-07-23,0.453,0.538,,,-15.807,,,,,,,,
2018-07-30,0.435,0.519,,,-16.341,,,,,,,,
2018-08-06,0.295,0.479,,,-38.271,,,-21.677,,,,,
2018-08-13,0.342,0.454,,,-24.637,,,-21.925,,,,,
2018-08-20,0.323,0.43,,,-24.937,,,-22.822,,,,,
2018-08-27,0.343,0.414,,,-17.28,,,-23.065,,,,,
2018-09-03,0.277,0.389,,,-28.911,,,-25.085,,,,,
2018-09-10,0.281,0.369,,,-23.887,,,-22.81,,,,,
2018-09-17,0.572,0.406,,,40.765,,,-10.474,,,,,
2018-09-24,0.583,0.438,,,32.906,,,1.941,,,,,
2018-10-01,0.483,0.446,,,8.13,,,7.803,,,,,
2018-10-08,0.41,0.44,,,-6.783,,,13.026,,,,,
2018-10-15,0.465,0.444,,,4.569,,,20.246,,,,,
2018-10-22,0.465,0.448,,,3.733,,,10.268,,,,,
2018-10-29,0.47,0.452,,,3.981,,,3.117,,,,,
2018-11-05,0.51,0.463,,,10.293,,,3.624,,,,,
2018-11-12,0.516,0.472,,,9.274,,,7.399,,,,,
2018-11-19,0.382,0.456,,,-16.208,,,2.613,,,,,
2018-11-26,0.37,0.44,,,-16.033,,,-1.739,,,,,
2018-12-03,0.309,0.416,,,-25.755,,,-7.88,,,,,
2018-12-10,0.287,0.393,,,-27.013,,,-15.085,,,,,
2018-12-17,0.367,0.388,,,-5.46,,,-17.832,,,,,
2018-12-24,0.365,0.384,,,-4.944,,,-15.798,,,,,
2018-12-31,0.36,0.38,,,-5.054,,,-13.766,,,,,
2019-01-07,0.311,0.367,,,-15.216,,,-11.813,,,,,
2019-01-14,0.317,0.358,,,-11.516,,,-8.851,,,,,
2019-01-21,0.306,0.349,,,-12.102,,,-10.161,,,,,
2019-01-28,0.302,0.34,,,-11.174,,,-11.375,,,,,
2019-02-04,0.31,0.335,,,-7.413,,,-11.832,,,,,
2019-02-11,0.303,0.329,,,-7.837,,,-10.411,,,,,
2019-02-18,0.298,0.323,,,-7.946,,,-9.713,,,,,
2019-02-25,0.311,0.321,,,-3.087,,,-7.916,,,,,
2019-03-04,0.313,0.32,,,-2.09,,,-6.066,,,,,
2019-03-11,0.315,0.319,,,-1.07,,,-4.745,,,,,
2019-03-18,0.308,0.317,,,-2.825,,,-3.691,,,,,
2019-03-25,0.309,0.315,,,-2.058,,,-2.436,,,,,
2019-04-01,0.361,0.324,,,11.581,,,0.828,,,,,
2019-04-08,0.328,0.324,,,0.986,,,1.519,,,,,
2019-04-15,0.32,0.324,,,-1.212,,,1.487,,,,,
2019-04-22,0.299,0.319,,,-6.175,,,0.741,,,,,
2019-04-29,0.3,0.316,,,-4.853,,,0.122,,,,,
2019-05-06,0.31,0.315,,,-1.457,,,-2.769,,,,,
2019-05-13,0.416,0.333,0.413,,24.939,0.843,,2.71,,,-19.286,,
2019-05-20,0.404,0.346,0.413,,16.671,-2.13,,6.948,,,-16.115,,
2019-05-27,0.444,0.364,0.414,,22.022,7.333,,13.995,,,-12.038,,
2019-06-03,0.385,0.368,0.413,,4.769,-6.628,,16.458,,,-10.878,,
2019-06-10,0.427,0.379,0.413,,12.817,3.364,,20.261,,,-8.379,,
2019-06-17,0.47,0.395,0.415,,18.972,13.243,,18.596,0.566,,-4.815,,
2019-06-24,0.396,0.395,0.414,,0.212,-4.413,,14.256,0.481,,-4.615,,
2019-07-01,0.397,0.396,0.414,,0.237,-4.19,,8.722,0.053,,-4.417,,
2019-07-08,0.304,0.379,0.41,,-19.849,-25.921,,3.026,-0.655,,-7.576,,
2019-07-15,0.331,0.37,0.407,,-10.635,-18.752,,-2.22,-1.463,,-9.082,,
