date,close,ema10,ema55,ema200,dist_p10,dist_p55,dist_p200,slope10,slope55,slope200,dist_10_55,dist_55_200,ratio_armonico
2020-07-20 17:30:00,3245.32,3232.705,3199.808,3132.325,0.39,1.422,3.607,0.355,0.241,0.174,1.028,2.154,0.477
2020-07-20 18:30:00,3253.23,3236.437,3201.716,3133.528,0.519,1.609,3.82,0.398,0.254,0.178,1.084,2.176,0.498
2020-07-20 19:30:00,3251.84,3239.238,3203.506,3134.705,0.389,1.509,3.737,0.418,0.263,0.181,1.115,2.195,0.508
2020-07-21 13:30:00,3265.41,3243.996,3205.717,3136.006,0.66,1.862,4.126,0.511,0.287,0.189,1.194,2.223,0.537
2020-07-21 14:30:00,3272.11,3249.108,3208.088,3137.36,0.708,1.996,4.295,0.595,0.312,0.197,1.279,2.254,0.567
2020-07-21 15:30:00,3268.14,3252.568,3210.233,3138.661,0.479,1.804,4.125,0.614,0.326,0.202,1.319,2.28,0.578
2020-07-21 16:30:00,3271.09,3255.936,3212.406,3139.979,0.465,1.827,4.176,0.602,0.334,0.206,1.355,2.307,0.587
2020-07-21 17:30:00,3273.81,3259.186,3214.599,3141.311,0.449,1.842,4.218,0.616,0.346,0.211,1.387,2.333,0.594
2020-07-21 18:30:00,3258.15,3258.997,3216.155,3142.473,-0.026,1.306,3.681,0.462,0.326,0.206,1.332,2.345,0.568
2020-07-21 19:30:00,3257.3,3258.689,3217.624,3143.616,-0.043,1.233,3.616,0.295,0.297,0.199,1.276,2.354,0.542
2020-07-22 13:30:00,3260.93,3259.096,3219.171,3144.783,0.056,1.297,3.693,0.201,0.278,0.195,1.24,2.365,0.524
2020-07-22 14:30:00,3261.86,3259.599,3220.696,3145.948,0.069,1.278,3.684,0.112,0.258,0.19,1.208,2.376,0.508
2020-07-22 15:30:00,3268.2,3261.163,3222.392,3147.165,0.216,1.422,3.846,0.061,0.242,0.186,1.203,2.39,0.503
2020-07-22 16:30:00,3265.59,3261.968,3223.935,3148.343,0.111,1.292,3.724,0.091,0.242,0.187,1.18,2.401,0.491
2020-07-22 17:30:00,3262.56,3262.075,3225.314,3149.479,0.015,1.155,3.59,0.104,0.239,0.187,1.14,2.408,0.473
2020-07-22 18:30:00,3268.01,3263.154,3226.839,3150.659,0.149,1.276,3.725,0.125,0.238,0.187,1.125,2.418,0.465
2020-07-22 19:30:00,3276.02,3265.494,3228.596,3151.906,0.322,1.469,3.938,0.181,0.245,0.189,1.143,2.433,0.47
2020-07-23 13:30:00,3271.5,3266.586,3230.128,3153.096,0.15,1.281,3.755,0.166,0.24,0.188,1.129,2.443,0.462
2020-07-23 14:30:00,3274.02,3267.937,3231.696,3154.299,0.186,1.31,3.795,0.183,0.241,0.189,1.121,2.454,0.457
2020-07-23 15:30:00,3264.79,3267.365,3232.877,3155.399,-0.079,0.987,3.467,0.162,0.234,0.188,1.067,2.455,0.434
2020-07-23 16:30:00,3256.98,3265.477,3233.738,3156.41,-0.26,0.719,3.186,0.071,0.214,0.183,0.981,2.45,0.401
2020-07-23 17:30:00,3233.52,3259.667,3233.73,3157.177,-0.802,-0.007,2.418,-0.178,0.159,0.167,0.802,2.425,0.331
2020-07-23 18:30:00,3232.56,3254.738,3233.689,3157.927,-0.681,-0.035,2.363,-0.363,0.11,0.153,0.651,2.399,0.271
2020-07-23 19:30:00,3235.66,3251.269,3233.759,3158.7,-0.48,0.059,2.436,-0.51,0.064,0.14,0.541,2.376,0.228
2020-07-24 13:30:00,3220.41,3245.659,3233.282,3159.314,-0.778,-0.398,1.934,-0.664,0.013,0.124,0.383,2.341,0.163
2020-07-24 14:30:00,3224.47,3241.806,3232.968,3159.963,-0.535,-0.263,2.041,-0.725,-0.024,0.113,0.273,2.31,0.118
2020-07-24 15:30:00,3216.02,3237.118,3232.362,3160.521,-0.652,-0.506,1.756,-0.692,-0.042,0.106,0.147,2.273,0.065
2020-07-24 16:30:00,3209.26,3232.053,3231.537,3161.006,-0.705,-0.689,1.527,-0.697,-0.067,0.097,0.016,2.231,0.007
2020-07-24 17:30:00,3221.29,3230.096,3231.171,3161.605,-0.273,-0.306,1.888,-0.651,-0.08,0.092,-0.033,2.2,-0.015
2020-07-24 18:30:00,3209.09,3226.277,3230.383,3162.078,-0.533,-0.659,1.487,-0.597,-0.09,0.087,-0.127,2.16,-0.059
2020-07-24 19:30:00,3215.63,3224.341,3229.856,3162.611,-0.27,-0.44,1.676,-0.539,-0.096,0.084,-0.171,2.126,-0.08
2020-07-27 13:30:00,3233.22,3225.955,3229.976,3163.313,0.225,0.1,2.21,-0.345,-0.074,0.088,-0.124,2.107,-0.059
2020-07-27 14:30:00,3224.47,3225.685,3229.779,3163.922,-0.038,-0.164,1.914,-0.197,-0.054,0.092,-0.127,2.082,-0.061
2020-07-27 15:30:00,3229.25,3226.333,3229.76,3164.572,0.09,-0.016,2.044,-0.116,-0.044,0.094,-0.106,2.06,-0.052
2020-07-27 16:30:00,3234.12,3227.749,3229.916,3165.264,0.197,0.13,2.175,0.046,-0.014,0.101,-0.067,2.043,-0.033
2020-07-27 17:30:00,3235.36,3229.133,3230.111,3165.961,0.193,0.163,2.192,0.149,0.008,0.106,-0.03,2.026,-0.015
