date,close,ema10,ema55,ema200,dist_p10,dist_p55,dist_p200,slope10,slope55,slope200,dist_10_55,dist_55_200,ratio_armonico
2018-05-04,0.89,,,,,,,,,,,,
2018-05-05,0.903,,,,,,,,,,,,
2018-05-06,0.865,,,,,,,,,,,,
2018-05-07,0.825,,,,,,,,,,,,
2018-05-08,0.807,,,,,,,,,,,,
2018-05-09,0.795,,,,,,,,,,,,
2018-05-10,0.746,,,,,,,,,,,,
2018-05-11,0.676,,,,,,,,,,,,
2018-05-12,0.685,,,,,,,,,,,,
2018-05-13,0.73,0.792,,,-7.839,,,,,,,,
2018-05-14,0.727,0.78,,,-6.831,,,,,,,,
2018-05-15,0.689,0.764,,,-9.775,,,,,,,,
2018-05-16,0.706,0.753,,,-6.279,,,,,,,,
2018-05-17,0.658,0.736,,,-10.523,,,,,,,,
2018-05-18,0.678,0.725,,,-6.573,,,-8.426,,,,,
2018-05-19,0.673,0.716,,,-5.937,,,-8.247,,,,,
2018-05-20,0.699,0.713,,,-1.893,,,-6.646,,,,,
2018-05-21,0.676,0.706,,,-4.26,,,-6.232,,,,,
2018-05-22,0.638,0.694,,,-8.065,,,-5.728,,,,,
2018-05-23,0.592,0.675,,,-12.334,,,-6.903,,,,,
2018-05-24,0.628,0.667,,,-5.783,,,-6.872,,,,,
2018-05-25,0.605,0.655,,,-7.753,,,-8.064,,,,,
2018-05-26,0.609,0.647,,,-5.93,,,-8.401,,,,,
2018-05-27,0.604,0.639,,,-5.469,,,-7.879,,,,,
2018-05-28,0.547,0.622,,,-12.124,,,-7.837,,,,,
2018-05-29,0.6,0.618,,,-2.96,,,-7.262,,,,,
2018-05-30,0.601,0.615,,,-2.233,,,-6.13,,,,,
2018-05-31,0.611,0.615,,,-0.509,,,-5.001,,,,,
2018-06-01,0.622,0.616,,,0.927,,,-3.648,,,,,
2018-06-02,0.643,0.621,,,3.545,,,-0.266,,,,,
2018-06-03,0.69,0.633,,,8.967,,,2.431,,,,,
2018-06-04,0.655,0.637,,,2.794,,,3.582,,,,,
2018-06-05,0.675,0.644,,,4.748,,,4.805,,,,,
2018-06-06,0.674,0.65,,,3.784,,,5.476,,,,,
2018-06-07,0.678,0.655,,,3.504,,,5.467,,,,,
2018-06-08,0.672,0.658,,,2.174,,,3.867,,,,,
2018-06-09,0.657,0.658,,,-0.05,,,3.211,,,,,
2018-06-10,0.582,0.644,,,-9.62,,,-0.016,,,,,
2018-06-11,0.6,0.636,,,-5.67,,,-2.09,,,,,
2018-06-12,0.556,0.621,,,-10.58,,,-5.084,,,,,
2018-06-13,0.529,0.604,,,-12.55,,,-8.106,,,,,
2018-06-14,0.558,0.596,,,-6.424,,,-9.389,,,,,
2018-06-15,0.533,0.584,,,-8.875,,,-9.242,,,,,
