date,close,ema10,ema55,ema200,dist_p10,dist_p55,dist_p200,slope10,slope55,slope200,dist_10_55,dist_55_200,ratio_armonico
1986-07-23 13:30:00,238.67,238.667,241.234,225.48,0.001,-1.063,5.85,-0.916,-0.336,0.265,-1.064,6.987,-0.152
1986-07-24 13:30:00,237.95,238.537,241.117,225.604,-0.246,-1.314,5.472,-0.609,-0.297,0.271,-1.07,6.876,-0.156
1986-07-25 13:30:00,240.22,238.843,241.085,225.75,0.577,-0.359,6.41,-0.207,-0.229,0.285,-0.93,6.793,-0.137
1986-07-28 13:30:00,236.01,238.328,240.904,225.852,-0.972,-2.031,4.498,-0.187,-0.225,0.281,-1.069,6.665,-0.16
1986-07-29 13:30:00,234.55,237.641,240.677,225.938,-1.301,-2.546,3.811,-0.43,-0.27,0.262,-1.261,6.523,-0.193
1986-07-30 13:30:00,236.59,237.45,240.531,226.044,-0.362,-1.638,4.665,-0.51,-0.292,0.25,-1.281,6.409,-0.2
1986-07-31 13:30:00,236.12,237.208,240.373,226.145,-0.459,-1.77,4.411,-0.557,-0.308,0.239,-1.317,6.292,-0.209
1986-08-01 13:30:00,234.91,236.79,240.178,226.232,-0.794,-2.194,3.836,-0.859,-0.376,0.214,-1.411,6.165,-0.229
1986-08-04 13:30:00,235.99,236.645,240.029,226.329,-0.277,-1.683,4.269,-0.706,-0.363,0.211,-1.41,6.053,-0.233
1986-08-05 13:30:00,237.03,236.715,239.922,226.435,0.133,-1.205,4.679,-0.39,-0.314,0.22,-1.337,5.956,-0.224
1986-08-06 13:30:00,236.84,236.738,239.812,226.539,0.043,-1.239,4.547,-0.3,-0.299,0.219,-1.282,5.859,-0.219
1986-08-07 13:30:00,237.04,236.793,239.713,226.643,0.105,-1.115,4.587,-0.175,-0.275,0.221,-1.218,5.766,-0.211
1986-08-08 13:30:00,236.88,236.808,239.611,226.745,0.03,-1.14,4.47,0.008,-0.236,0.227,-1.17,5.674,-0.206
1986-08-11 13:30:00,240.68,237.512,239.65,226.884,1.334,0.43,6.081,0.367,-0.158,0.245,-0.892,5.627,-0.159
1986-08-12 13:30:00,243.34,238.572,239.781,227.048,1.999,1.484,7.176,0.785,-0.058,0.27,-0.504,5.608,-0.09
1986-08-13 13:30:00,245.67,239.862,239.992,227.233,2.421,2.366,8.114,1.32,0.075,0.306,-0.054,5.615,-0.01
1986-08-14 13:30:00,246.25,241.024,240.215,227.422,2.168,2.512,8.279,1.787,0.21,0.344,0.337,5.625,0.06
1986-08-15 13:30:00,247.15,242.138,240.463,227.619,2.07,2.781,8.581,2.25,0.355,0.385,0.696,5.643,0.123
1986-08-18 13:30:00,247.38,243.091,240.71,227.815,1.764,2.771,8.588,2.349,0.442,0.41,0.989,5.66,0.175
1986-08-19 13:30:00,246.51,243.713,240.917,228.001,1.148,2.322,8.118,2.155,0.474,0.42,1.16,5.665,0.205
1986-08-20 13:30:00,249.77,244.814,241.233,228.218,2.024,3.539,9.444,2.064,0.517,0.433,1.484,5.703,0.26
1986-08-21 13:30:00,249.67,245.697,241.535,228.431,1.617,3.368,9.298,1.939,0.549,0.444,1.723,5.736,0.3
1986-08-22 13:30:00,250.19,246.514,241.844,228.648,1.491,3.451,9.422,1.807,0.574,0.452,1.931,5.771,0.335
1986-08-25 13:30:00,247.81,246.749,242.057,228.838,0.43,2.377,8.29,1.505,0.56,0.449,1.939,5.776,0.336
1986-08-26 13:30:00,252.84,247.857,242.442,229.077,2.011,4.289,10.373,1.7,0.633,0.472,2.233,5.834,0.383
1986-08-27 13:30:00,253.3,248.846,242.83,229.318,1.79,4.312,10.458,1.647,0.662,0.482,2.478,5.892,0.421
1986-08-28 13:30:00,252.84,249.573,243.187,229.552,1.309,3.969,10.145,1.577,0.684,0.491,2.626,5.94,0.442
1986-08-29 13:30:00,252.93,250.183,243.535,229.785,1.098,3.858,10.073,1.488,0.699,0.497,2.73,5.984,0.456
1986-09-02 13:30:00,248.52,249.881,243.713,229.971,-0.545,1.972,8.066,1.269,0.684,0.495,2.531,5.975,0.424
1986-09-03 13:30:00,250.08,249.917,243.941,230.171,0.065,2.517,8.649,0.831,0.618,0.478,2.45,5.982,0.41
1986-09-04 13:30:00,253.83,250.628,244.294,230.407,1.277,3.904,10.166,0.716,0.603,0.475,2.593,6.027,0.43
1986-09-05 13:30:00,250.47,250.6,244.514,230.606,-0.052,2.436,8.614,0.412,0.546,0.459,2.489,6.031,0.413
1986-09-08 13:30:00,248.14,250.152,244.644,230.781,-0.804,1.429,7.522,-0.012,0.455,0.433,2.252,6.007,0.375
1986-09-09 13:30:00,247.67,249.701,244.752,230.949,-0.813,1.192,7.24,-0.072,0.426,0.425,2.022,5.977,0.338
1986-09-10 13:30:00,247.06,249.221,244.834,231.109,-0.867,0.909,6.902,-0.279,0.366,0.407,1.792,5.939,0.302
1986-09-11 13:30:00,235.18,246.668,244.49,231.15,-4.657,-3.808,1.744,-1.58,0.08,0.322,0.891,5.771,0.154
1986-09-12 13:30:00,230.67,243.759,243.996,231.145,-5.37,-5.462,-0.205,-2.73,-0.212,0.234,-0.097,5.56,-0.017
1986-09-15 13:30:00,231.94,241.61,243.565,231.153,-4.002,-4.773,0.341,-3.415,-0.441,0.161,-0.803,5.37,-0.149
1986-09-16 13:30:00,231.72,239.812,243.142,231.159,-3.374,-4.698,0.243,-3.96,-0.658,0.091,-1.37,5.184,-0.264
1986-09-17 13:30:00,231.68,238.334,242.733,231.164,-2.792,-4.554,0.223,-4.369,-0.858,0.024,-1.812,5.005,-0.362
1986-09-18 13:30:00,232.31,237.238,242.361,231.175,-2.077,-4.147,0.491,-3.823,-0.871,0.011,-2.114,4.839,-0.437
1986-09-19 13:30:00,232.21,236.324,241.998,231.185,-1.741,-4.045,0.443,-3.05,-0.819,0.017,-2.345,4.677,-0.501
1986-09-22 13:30:00,234.93,236.071,241.746,231.223,-0.483,-2.819,1.603,-2.293,-0.747,0.03,-2.348,4.551,-0.516
1986-09-23 13:30:00,235.67,235.998,241.529,231.267,-0.139,-2.426,1.904,-1.591,-0.664,0.047,-2.29,4.437,-0.516
1986-09-24 13:30:00,236.28,236.049,241.341,231.317,0.098,-2.097,2.146,-0.958,-0.573,0.066,-2.193,4.334,-0.506
1986-09-25 13:30:00,231.83,235.282,241.002,231.322,-1.467,-3.806,0.22,-0.825,-0.561,0.063,-2.373,4.185,-0.567
1986-09-26 13:30:00,232.23,234.727,240.688,231.331,-1.064,-3.514,0.389,-0.676,-0.541,0.063,-2.477,4.045,-0.612
1986-09-29 13:30:00,229.91,233.851,240.303,231.317,-1.685,-4.325,-0.608,-0.94,-0.597,0.041,-2.685,3.885,-0.691
1986-09-30 13:30:00,231.32,233.391,239.983,231.317,-0.887,-3.61,0.001,-1.105,-0.64,0.022,-2.747,3.746,-0.733
1986-10-01 13:30:00,233.6,233.429,239.755,231.34,0.073,-2.567,0.977,-1.11,-0.657,0.01,-2.638,3.638,-0.725
1986-10-02 13:30:00,233.92,233.518,239.546,231.365,0.172,-2.349,1.104,-0.75,-0.604,0.019,-2.516,3.536,-0.712
1986-10-03 13:30:00,233.71,233.553,239.338,231.389,0.067,-2.351,1.003,-0.5,-0.561,0.025,-2.417,3.435,-0.704
1986-10-06 13:30:00,234.78,233.776,239.175,231.422,0.429,-1.838,1.451,-0.032,-0.47,0.046,-2.257,3.35,-0.674
1986-10-07 13:30:00,234.41,233.891,239.005,231.452,0.222,-1.922,1.278,0.214,-0.407,0.058,-2.139,3.263,-0.656
1986-10-08 13:30:00,236.68,234.398,238.922,231.504,0.973,-0.938,2.236,0.415,-0.347,0.071,-1.893,3.204,-0.591
1986-10-09 13:30:00,235.85,234.662,238.812,231.547,0.506,-1.24,1.858,0.49,-0.306,0.079,-1.738,3.137,-0.554
1986-10-10 13:30:00,235.48,234.811,238.693,231.586,0.285,-1.346,1.681,0.539,-0.269,0.086,-1.626,3.069,-0.53
1986-10-13 13:30:00,235.91,235.011,238.594,231.629,0.383,-1.125,1.848,0.528,-0.243,0.09,-1.502,3.007,-0.499
1986-10-14 13:30:00,235.37,235.076,238.479,231.667,0.125,-1.304,1.599,0.507,-0.22,0.093,-1.427,2.94,-0.485
1986-10-15 13:30:00,238.8,235.753,238.49,231.738,1.292,0.13,3.048,0.578,-0.181,0.101,-1.148,2.914,-0.394
1986-10-16 13:30:00,239.53,236.44,238.527,231.815,1.307,0.42,3.328,0.757,-0.119,0.116,-0.875,2.895,-0.302
1986-10-17 13:30:00,238.84,236.876,238.538,231.885,0.829,0.126,2.999,0.88,-0.065,0.129,-0.697,2.869,-0.243
1986-10-20 13:30:00,235.97,236.712,238.447,231.926,-0.313,-1.039,1.744,0.724,-0.062,0.128,-0.728,2.812,-0.259
1986-10-21 13:30:00,235.88,236.56,238.355,231.965,-0.288,-1.038,1.688,0.631,-0.052,0.129,-0.753,2.755,-0.273
1986-10-22 13:30:00,236.26,236.506,238.28,232.008,-0.104,-0.848,1.833,0.319,-0.088,0.117,-0.745,2.703,-0.275
1986-10-23 13:30:00,239.28,237.01,238.316,232.08,0.958,0.405,3.102,0.241,-0.089,0.114,-0.548,2.687,-0.204
1986-10-24 13:30:00,238.26,237.237,238.314,232.142,0.431,-0.023,2.636,0.152,-0.094,0.111,-0.452,2.659,-0.17
1986-10-27 14:30:00,238.77,237.516,238.33,232.208,0.528,0.185,2.826,0.34,-0.049,0.122,-0.342,2.637,-0.13
1986-10-28 14:30:00,239.26,237.833,238.363,232.278,0.6,0.376,3.006,0.538,0.004,0.135,-0.222,2.62,-0.085
1986-10-29 14:30:00,240.94,238.398,238.455,232.364,1.066,1.042,3.691,0.8,0.074,0.154,-0.024,2.621,-0.009
1986-10-30 14:30:00,243.71,239.364,238.643,232.477,1.816,2.123,4.832,0.993,0.137,0.171,0.302,2.652,0.114
1986-10-31 14:30:00,243.98,240.203,238.834,232.591,1.572,2.155,4.896,1.25,0.218,0.194,0.573,2.684,0.214
1986-11-03 14:30:00,245.8,241.221,239.082,232.723,1.898,2.81,5.619,1.56,0.316,0.222,0.894,2.733,0.327
1986-11-04 14:30:00,246.2,242.126,239.337,232.857,1.683,2.868,5.73,1.805,0.408,0.249,1.165,2.783,0.419
1986-11-05 14:30:00,246.58,242.936,239.595,232.993,1.5,2.915,5.831,1.903,0.478,0.271,1.394,2.834,0.492
1986-11-06 14:30:00,245.87,243.469,239.819,233.122,0.986,2.523,5.469,1.715,0.493,0.277,1.522,2.873,0.53
1986-11-07 14:30:00,245.77,243.888,240.032,233.247,0.772,2.391,5.369,1.534,0.502,0.282,1.606,2.909,0.552
1986-11-10 14:30:00,246.13,244.295,240.25,233.376,0.751,2.448,5.465,1.275,0.488,0.281,1.684,2.946,0.572
