date,close,ema10,ema55,ema200,dist_p10,dist_p55,dist_p200,slope10,slope55,slope200,dist_10_55,dist_55_200,ratio_armonico
2025-09-09 12:30:00,112671.76,112698.818,112208.077,111495.731,-0.024,0.413,1.055,-0.053,0.081,0.054,0.437,0.639,0.685
2025-09-09 13:00:00,112809.3,112718.906,112229.55,111508.801,0.08,0.517,1.166,-0.031,0.081,0.054,0.436,0.646,0.675
2025-09-09 13:30:00,112760.58,112726.483,112248.515,111521.257,0.03,0.456,1.111,-0.015,0.08,0.054,0.426,0.652,0.653
2025-09-09 14:00:00,112320.24,112652.621,112251.077,111529.207,-0.295,0.062,0.709,-0.031,0.073,0.052,0.358,0.647,0.553
2025-09-09 14:30:00,111767.45,112491.68,112233.804,111531.577,-0.644,-0.416,0.211,-0.189,0.038,0.043,0.23,0.63,0.365
2025-09-09 15:00:00,111303.84,112275.709,112200.591,111529.311,-0.866,-0.799,-0.202,-0.375,-0.007,0.03,0.067,0.602,0.111
2025-09-09 15:30:00,110880.76,112022.082,112153.454,111522.858,-1.019,-1.135,-0.576,-0.618,-0.068,0.013,-0.117,0.565,-0.207
2025-09-09 16:00:00,110950.74,111827.293,112110.5,111517.165,-0.784,-1.034,-0.508,-0.798,-0.123,-0.004,-0.253,0.532,-0.475
2025-09-09 16:30:00,110975.99,111672.51,112069.982,111511.78,-0.624,-0.976,-0.48,-0.87,-0.161,-0.016,-0.355,0.501,-0.709
2025-09-09 17:00:00,110926.5,111536.872,112029.143,111505.957,-0.547,-0.984,-0.52,-0.849,-0.182,-0.023,-0.439,0.469,-0.937
2025-09-09 17:30:00,111025.44,111443.885,111993.297,111501.175,-0.375,-0.864,-0.427,-0.741,-0.185,-0.025,-0.491,0.441,-1.112
2025-09-09 18:00:00,111185.06,111396.826,111964.431,111498.03,-0.19,-0.696,-0.281,-0.558,-0.169,-0.022,-0.507,0.418,-1.212
2025-09-09 18:30:00,111131.92,111348.661,111934.699,111494.387,-0.195,-0.717,-0.325,-0.428,-0.157,-0.02,-0.524,0.395,-1.326
2025-09-09 19:00:00,111257.8,111332.141,111910.524,111492.033,-0.067,-0.583,-0.21,-0.305,-0.142,-0.018,-0.517,0.375,-1.377
2025-09-09 19:30:00,111301.53,111326.575,111888.774,111490.137,-0.022,-0.525,-0.169,-0.189,-0.125,-0.014,-0.502,0.358,-1.405
2025-09-09 20:00:00,111145.71,111293.691,111862.236,111486.71,-0.133,-0.641,-0.306,-0.135,-0.117,-0.013,-0.508,0.337,-1.509
2025-09-09 20:30:00,111530.16,111336.685,111850.376,111487.143,0.174,-0.286,0.039,-0.054,-0.102,-0.01,-0.459,0.326,-1.41
2025-09-09 21:00:00,111404.41,111348.999,111834.449,111486.319,0.05,-0.385,-0.073,0.0,-0.09,-0.007,-0.434,0.312,-1.39
2025-09-09 21:30:00,111299.61,111340.019,111815.347,111484.462,-0.036,-0.461,-0.166,0.007,-0.085,-0.007,-0.425,0.297,-1.432
2025-09-09 22:00:00,111418.12,111354.219,111801.161,111483.802,0.057,-0.343,-0.059,0.025,-0.078,-0.006,-0.4,0.285,-1.404
2025-09-09 22:30:00,111556.16,111390.936,111792.411,111484.522,0.148,-0.211,0.064,0.087,-0.062,-0.002,-0.359,0.276,-1.3
2025-09-09 23:00:00,111445.59,111400.873,111780.024,111484.134,0.04,-0.299,-0.035,0.058,-0.063,-0.003,-0.339,0.265,-1.278
2025-09-09 23:30:00,111546.39,111427.33,111771.68,111484.754,0.107,-0.202,0.055,0.07,-0.056,-0.001,-0.308,0.257,-1.197
2025-09-10 00:00:00,111194.01,111384.909,111751.049,111481.861,-0.171,-0.498,-0.258,0.04,-0.058,-0.002,-0.328,0.241,-1.357
