Date,Message
2021-09-15T04:00:00.000-00:00,"2021-09-15 04:00,2144479218399.304,2111067217120.532,2121632042113.069,2042412427046.371,1.583,1.077,4.997,1.773,0.081,0.22,-0.498,3.879,-0.128"
2021-09-15T08:00:00.000-00:00,"2021-09-15 08:00,2150451658425.853,2118228024630.591,2122661314124.24,2043487444274.027,1.521,1.309,5.234,1.661,0.12,0.23,-0.209,3.874,-0.054"
2021-09-15T12:00:00.000-00:00,"2021-09-15 12:00,2186436064758.38,2130629486472.007,2124938983789.745,2044909818607.205,2.619,2.894,6.921,2.053,0.25,0.267,0.268,3.914,0.068"
2021-09-15T16:00:00.000-00:00,"2021-09-15 16:00,2189234455143.809,2141284935321.425,2127235250623.819,2046345884642.395,2.239,2.915,6.983,2.108,0.326,0.288,0.66,3.953,0.167"
2021-09-15T20:00:00.000-00:00,"2021-09-15 20:00,2200508476224.448,2152052851849.248,2129852151538.127,2047879840777.54,2.252,3.317,7.453,2.301,0.427,0.318,1.042,4.003,0.26"
2021-09-16T00:00:00.000-00:00,"2021-09-16 00:00,2170973777310.808,2155493020114.986,2131320781030.008,2049104656066.428,0.718,1.86,5.947,2.104,0.457,0.328,1.134,4.012,0.283"
2021-09-16T04:00:00.000-00:00,"2021-09-16 04:00,2206702293951.008,2164803797176.081,2134012977920.044,2050672791766.772,1.935,3.406,7.609,2.199,0.535,0.352,1.443,4.064,0.355"
2021-09-16T08:00:00.000-00:00,"2021-09-16 08:00,2194835437997.311,2170264095507.214,2136185208637.089,2052107245958.121,1.132,2.746,6.955,1.86,0.529,0.352,1.595,4.097,0.389"
2021-09-16T12:00:00.000-00:00,"2021-09-16 12:00,2190389914046.221,2173923335241.579,2138121090973.13,2053483192904.271,0.757,2.445,6.667,1.524,0.512,0.349,1.674,4.122,0.406"
2021-09-16T16:00:00.000-00:00,"2021-09-16 16:00,2165180926702.898,2172333806416.364,2139087513677.764,2054594613141.073,-0.329,1.22,5.382,0.942,0.434,0.328,1.554,4.112,0.378"
2021-09-16T20:00:00.000-00:00,"2021-09-16 20:00,2173419795942.798,2172531259057.534,2140313666615.801,2055776953268.453,0.041,1.547,5.723,0.79,0.422,0.326,1.505,4.112,0.366"
2021-09-17T00:00:00.000-00:00,"2021-09-17 00:00,2177987976865.699,2173523389568.109,2141659177696.155,2056992983353.998,0.205,1.696,5.882,0.403,0.358,0.308,1.488,4.116,0.361"
