Date,Message
2019-10-29T09:00:00.000-00:00,"2019-10-29 09:00,21.174,21.179,21.255,21.41,-0.023,-0.378,-1.098,0.09,-0.056,-0.051,-0.355,-0.723,0.491"
2019-10-29T13:00:00.000-00:00,"2019-10-29 13:00,21.251,21.192,21.255,21.408,0.276,-0.018,-0.735,0.1,-0.049,-0.049,-0.293,-0.716,0.409"
2019-10-29T17:00:00.000-00:00,"2019-10-29 17:00,21.244,21.202,21.254,21.406,0.199,-0.049,-0.759,0.112,-0.042,-0.047,-0.247,-0.711,0.348"
2019-10-29T21:00:00.000-00:00,"2019-10-29 21:00,21.233,21.207,21.254,21.405,0.12,-0.097,-0.802,0.112,-0.036,-0.046,-0.217,-0.706,0.307"
2019-10-30T01:00:00.000-00:00,"2019-10-30 01:00,21.24,21.213,21.253,21.403,0.125,-0.062,-0.762,0.155,-0.022,-0.042,-0.187,-0.701,0.267"
2019-10-30T05:00:00.000-00:00,"2019-10-30 05:00,21.234,21.217,21.252,21.401,0.08,-0.087,-0.782,0.178,-0.012,-0.039,-0.166,-0.696,0.239"
2019-10-30T09:00:00.000-00:00,"2019-10-30 09:00,21.284,21.229,21.253,21.4,0.258,0.143,-0.543,0.174,-0.006,-0.037,-0.114,-0.685,0.167"
2019-10-30T13:00:00.000-00:00,"2019-10-30 13:00,21.303,21.243,21.255,21.399,0.284,0.224,-0.45,0.193,0.005,-0.034,-0.059,-0.673,0.088"
2019-10-30T17:00:00.000-00:00,"2019-10-30 17:00,21.28,21.249,21.256,21.398,0.144,0.112,-0.552,0.198,0.012,-0.031,-0.032,-0.663,0.048"
2019-10-30T21:00:00.000-00:00,"2019-10-30 21:00,21.304,21.259,21.258,21.397,0.211,0.218,-0.434,0.217,0.023,-0.028,0.007,-0.651,-0.011"
2019-10-31T01:00:00.000-00:00,"2019-10-31 01:00,21.298,21.266,21.259,21.396,0.148,0.182,-0.459,0.232,0.033,-0.024,0.033,-0.639,-0.052"
2019-10-31T05:00:00.000-00:00,"2019-10-31 05:00,21.365,21.284,21.263,21.396,0.381,0.481,-0.142,0.26,0.045,-0.02,0.1,-0.62,-0.162"
2019-10-31T09:00:00.000-00:00,"2019-10-31 09:00,21.308,21.289,21.265,21.395,0.09,0.203,-0.407,0.217,0.044,-0.02,0.113,-0.609,-0.185"
2019-10-31T13:00:00.000-00:00,"2019-10-31 13:00,21.434,21.315,21.271,21.395,0.557,0.767,0.18,0.309,0.069,-0.013,0.208,-0.582,-0.358"
2019-10-31T17:00:00.000-00:00,"2019-10-31 17:00,21.45,21.34,21.277,21.396,0.518,0.813,0.253,0.377,0.091,-0.006,0.294,-0.555,-0.529"
2019-10-31T21:00:00.000-00:00,"2019-10-31 21:00,21.458,21.361,21.284,21.396,0.453,0.819,0.287,0.445,0.114,0.002,0.364,-0.528,-0.69"
2019-11-01T01:00:00.000-00:00,"2019-11-01 01:00,21.452,21.378,21.29,21.397,0.346,0.761,0.255,0.438,0.125,0.006,0.413,-0.502,-0.823"
2019-11-01T05:00:00.000-00:00,"2019-11-01 05:00,21.448,21.39,21.295,21.398,0.271,0.719,0.238,0.478,0.144,0.012,0.447,-0.478,-0.935"
2019-11-01T09:00:00.000-00:00,"2019-11-01 09:00,21.285,21.371,21.295,21.396,-0.403,-0.045,-0.519,0.264,0.114,0.005,0.359,-0.474,-0.756"
2019-11-01T13:00:00.000-00:00,"2019-11-01 13:00,21.343,21.366,21.297,21.396,-0.108,0.219,-0.246,0.125,0.092,0,0.327,-0.464,-0.704"
2019-11-01T17:00:00.000-00:00,"2019-11-01 17:00,21.347,21.363,21.298,21.395,-0.075,0.226,-0.228,0.007,0.07,-0.005,0.302,-0.453,-0.665"
