Date,Message
2025-02-13T05:00:00.000-00:00,"2025-02-13 05:00,96666.38,97215.248,96819.473,97418.269,-0.565,-0.158,-0.772,-0.055,0.096,-0.006,0.409,-0.615,-0.665"
2025-02-13T06:00:00.000-00:00,"2025-02-13 06:00,96056.72,97004.606,96792.232,97404.721,-0.977,-0.76,-1.384,-0.405,0.022,-0.026,0.219,-0.629,-0.349"
2025-02-13T07:00:00.000-00:00,"2025-02-13 07:00,96070.23,96834.72,96766.446,97391.443,-0.789,-0.719,-1.357,-0.593,-0.031,-0.04,0.071,-0.642,-0.11"
2025-02-13T08:00:00.000-00:00,"2025-02-13 08:00,95943.62,96672.702,96737.06,97377.036,-0.754,-0.82,-1.472,-0.776,-0.087,-0.055,-0.067,-0.657,0.101"
2025-02-13T09:00:00.000-00:00,"2025-02-13 09:00,96262.25,96598.074,96720.102,97365.944,-0.348,-0.473,-1.134,-0.759,-0.108,-0.061,-0.126,-0.663,0.19"
2025-02-13T10:00:00.000-00:00,"2025-02-13 10:00,96155.86,96517.671,96699.951,97353.903,-0.375,-0.563,-1.231,-0.718,-0.123,-0.066,-0.188,-0.672,0.281"
2025-02-13T11:00:00.000-00:00,"2025-02-13 11:00,95925.11,96409.933,96672.278,97339.687,-0.503,-0.773,-1.453,-0.613,-0.124,-0.067,-0.271,-0.686,0.396"
2025-02-13T12:00:00.000-00:00,"2025-02-13 12:00,95820.28,96302.723,96641.849,97324.568,-0.501,-0.85,-1.546,-0.549,-0.129,-0.069,-0.351,-0.701,0.5"
2025-02-13T13:00:00.000-00:00,"2025-02-13 13:00,96074.66,96261.257,96621.593,97312.131,-0.194,-0.566,-1.272,-0.426,-0.119,-0.067,-0.373,-0.71,0.526"
2025-02-13T14:00:00.000-00:00,"2025-02-13 14:00,95857.03,96187.761,96594.287,97297.653,-0.344,-0.763,-1.481,-0.425,-0.13,-0.07,-0.421,-0.723,0.582"
2025-02-13T15:00:00.000-00:00,"2025-02-13 15:00,95998,96153.259,96572.991,97284.721,-0.161,-0.595,-1.323,-0.378,-0.131,-0.071,-0.435,-0.732,0.594"
2025-02-13T16:00:00.000-00:00,"2025-02-13 16:00,95359.22,96008.889,96529.642,97265.561,-0.677,-1.212,-1.96,-0.416,-0.148,-0.076,-0.539,-0.757,0.713"
2025-02-13T17:00:00.000-00:00,"2025-02-13 17:00,95692.09,95951.289,96499.729,97249.905,-0.27,-0.837,-1.602,-0.365,-0.147,-0.077,-0.568,-0.771,0.737"
2025-02-13T18:00:00.000-00:00,"2025-02-13 18:00,95964.01,95953.602,96480.596,97237.11,0.011,-0.535,-1.309,-0.32,-0.146,-0.077,-0.546,-0.778,0.702"
2025-02-13T19:00:00.000-00:00,"2025-02-13 19:00,95627.76,95894.358,96450.138,97221.097,-0.278,-0.853,-1.639,-0.305,-0.149,-0.079,-0.576,-0.793,0.727"
2025-02-13T20:00:00.000-00:00,"2025-02-13 20:00,96264.52,95961.66,96443.509,97211.578,0.316,-0.186,-0.974,-0.199,-0.134,-0.075,-0.5,-0.79,0.632"
2025-02-13T21:00:00.000-00:00,"2025-02-13 21:00,96488,96057.358,96445.098,97204.379,0.448,0.044,-0.737,0.05,-0.088,-0.063,-0.402,-0.781,0.515"
2025-02-13T22:00:00.000-00:00,"2025-02-13 22:00,96411.4,96121.729,96443.894,97196.488,0.301,-0.034,-0.808,0.178,-0.058,-0.055,-0.334,-0.774,0.431"
2025-02-13T23:00:00.000-00:00,"2025-02-13 23:00,96608.14,96210.168,96449.76,97190.634,0.414,0.164,-0.599,0.267,-0.032,-0.048,-0.248,-0.762,0.326"
2025-02-14T00:00:00.000-00:00,"2025-02-14 00:00,96750.83,96308.47,96460.513,97186.258,0.459,0.301,-0.448,0.432,0.011,-0.036,-0.158,-0.747,0.211"
2025-02-14T01:00:00.000-00:00,"2025-02-14 01:00,96529.27,96348.615,96462.968,97179.721,0.188,0.069,-0.669,0.403,0.02,-0.033,-0.119,-0.738,0.161"
2025-02-14T02:00:00.000-00:00,"2025-02-14 02:00,96528.47,96381.316,96465.308,97173.241,0.153,0.065,-0.664,0.337,0.021,-0.032,-0.087,-0.729,0.12"
2025-02-14T03:00:00.000-00:00,"2025-02-14 03:00,97129.98,96517.437,96489.046,97172.81,0.635,0.664,-0.044,0.412,0.047,-0.024,0.029,-0.704,-0.042"
2025-02-14T04:00:00.000-00:00,"2025-02-14 04:00,96750,96559.721,96498.366,97168.603,0.197,0.261,-0.431,0.363,0.05,-0.023,0.064,-0.69,-0.092"
2025-02-14T05:00:00.000-00:00,"2025-02-14 05:00,96683.29,96582.188,96504.97,97163.774,0.105,0.185,-0.495,0.284,0.046,-0.023,0.08,-0.678,-0.118"
2025-02-14T06:00:00.000-00:00,"2025-02-14 06:00,96834.29,96628.025,96516.732,97160.496,0.213,0.329,-0.336,0.29,0.056,-0.02,0.115,-0.663,-0.174"
2025-02-14T07:00:00.000-00:00,"2025-02-14 07:00,96944.09,96685.491,96531.994,97158.342,0.267,0.427,-0.221,0.316,0.069,-0.015,0.159,-0.645,-0.247"
2025-02-14T08:00:00.000-00:00,"2025-02-14 08:00,96871.97,96719.396,96544.136,97155.493,0.158,0.34,-0.292,0.209,0.057,-0.018,0.182,-0.629,-0.288"
