Date,Message
2019-10-25T17:00:00.000-00:00,"2019-10-25 17:00,19.051,19.094,19.185,19.39,-0.227,-0.699,-1.75,-0.131,-0.102,-0.08,-0.473,-1.058,0.447"
2019-10-27T21:00:00.000-00:00,"2019-10-27 21:00,19.056,19.087,19.18,19.387,-0.166,-0.65,-1.708,-0.172,-0.111,-0.083,-0.485,-1.065,0.456"
2019-10-28T01:00:00.000-00:00,"2019-10-28 01:00,19.053,19.081,19.176,19.383,-0.146,-0.64,-1.705,-0.206,-0.12,-0.085,-0.494,-1.072,0.461"
2019-10-28T05:00:00.000-00:00,"2019-10-28 05:00,19.048,19.075,19.171,19.38,-0.14,-0.641,-1.712,-0.208,-0.123,-0.087,-0.502,-1.078,0.465"
2019-10-28T09:00:00.000-00:00,"2019-10-28 09:00,19.071,19.074,19.168,19.377,-0.016,-0.502,-1.578,-0.154,-0.116,-0.085,-0.487,-1.081,0.45"
2019-10-28T13:00:00.000-00:00,"2019-10-28 13:00,19.057,19.071,19.164,19.374,-0.075,-0.557,-1.636,-0.12,-0.111,-0.084,-0.483,-1.085,0.445"
2019-10-28T17:00:00.000-00:00,"2019-10-28 17:00,19.117,19.079,19.162,19.371,0.195,-0.237,-1.315,-0.04,-0.095,-0.08,-0.431,-1.081,0.399"
2019-10-28T21:00:00.000-00:00,"2019-10-28 21:00,19.109,19.085,19.16,19.369,0.125,-0.269,-1.343,0.02,-0.082,-0.076,-0.393,-1.077,0.365"
2019-10-29T01:00:00.000-00:00,"2019-10-29 01:00,19.117,19.091,19.158,19.366,0.139,-0.215,-1.285,0.082,-0.066,-0.072,-0.354,-1.072,0.33"
2019-10-29T05:00:00.000-00:00,"2019-10-29 05:00,19.103,19.093,19.156,19.364,0.052,-0.281,-1.347,0.097,-0.058,-0.07,-0.332,-1.069,0.311"
2019-10-29T09:00:00.000-00:00,"2019-10-29 09:00,19.084,19.091,19.154,19.361,-0.037,-0.364,-1.429,0.105,-0.051,-0.068,-0.327,-1.068,0.306"
2019-10-29T13:00:00.000-00:00,"2019-10-29 13:00,19.128,19.098,19.153,19.358,0.157,-0.131,-1.191,0.097,-0.047,-0.066,-0.288,-1.061,0.271"
2019-10-29T17:00:00.000-00:00,"2019-10-29 17:00,19.114,19.101,19.152,19.356,0.067,-0.198,-1.252,0.084,-0.044,-0.065,-0.265,-1.056,0.251"
2019-10-29T21:00:00.000-00:00,"2019-10-29 21:00,19.112,19.103,19.15,19.354,0.048,-0.199,-1.248,0.064,-0.043,-0.065,-0.247,-1.051,0.235"
2019-10-30T01:00:00.000-00:00,"2019-10-30 01:00,19.118,19.106,19.149,19.351,0.066,-0.161,-1.204,0.067,-0.039,-0.064,-0.227,-1.045,0.217"
2019-10-30T05:00:00.000-00:00,"2019-10-30 05:00,19.096,19.104,19.147,19.349,-0.042,-0.268,-1.307,0.066,-0.035,-0.062,-0.226,-1.042,0.217"
2019-10-30T09:00:00.000-00:00,"2019-10-30 09:00,19.149,19.112,19.147,19.347,0.195,0.012,-1.02,0.074,-0.03,-0.061,-0.183,-1.031,0.178"
2019-10-30T13:00:00.000-00:00,"2019-10-30 13:00,19.155,19.12,19.147,19.345,0.184,0.04,-0.981,0.1,-0.021,-0.058,-0.144,-1.02,0.141"
2019-10-30T17:00:00.000-00:00,"2019-10-30 17:00,19.082,19.113,19.145,19.342,-0.164,-0.331,-1.347,0.053,-0.026,-0.059,-0.168,-1.019,0.165"
2019-10-30T21:00:00.000-00:00,"2019-10-30 21:00,19.085,19.108,19.143,19.34,-0.121,-0.305,-1.319,0.012,-0.032,-0.06,-0.184,-1.017,0.181"
2019-10-31T01:00:00.000-00:00,"2019-10-31 01:00,19.076,19.102,19.141,19.337,-0.138,-0.339,-1.351,-0.01,-0.034,-0.06,-0.202,-1.016,0.199"
2019-10-31T05:00:00.000-00:00,"2019-10-31 05:00,19.118,19.105,19.14,19.335,0.068,-0.114,-1.122,-0.038,-0.039,-0.061,-0.182,-1.009,0.181"
2019-10-31T09:00:00.000-00:00,"2019-10-31 09:00,19.104,19.105,19.138,19.332,-0.004,-0.18,-1.182,-0.08,-0.047,-0.063,-0.176,-1.004,0.176"
2019-10-31T13:00:00.000-00:00,"2019-10-31 13:00,19.222,19.126,19.141,19.331,0.502,0.421,-0.565,0.068,-0.019,-0.056,-0.081,-0.983,0.082"
2019-10-31T17:00:00.000-00:00,"2019-10-31 17:00,19.233,19.145,19.145,19.33,0.457,0.461,-0.504,0.197,0.009,-0.047,0.004,-0.961,-0.004"
2019-10-31T21:00:00.000-00:00,"2019-10-31 21:00,19.233,19.161,19.148,19.329,0.374,0.445,-0.498,0.311,0.038,-0.039,0.071,-0.939,-0.075"
2019-11-01T01:00:00.000-00:00,"2019-11-01 01:00,19.213,19.171,19.15,19.328,0.22,0.328,-0.596,0.345,0.055,-0.034,0.107,-0.921,-0.117"
2019-11-01T05:00:00.000-00:00,"2019-11-01 05:00,19.216,19.179,19.153,19.327,0.193,0.332,-0.575,0.389,0.074,-0.028,0.138,-0.903,-0.153"
2019-11-01T09:00:00.000-00:00,"2019-11-01 09:00,19.123,19.169,19.152,19.325,-0.239,-0.148,-1.045,0.224,0.053,-0.032,0.091,-0.898,-0.101"
2019-11-01T13:00:00.000-00:00,"2019-11-01 13:00,19.11,19.158,19.15,19.323,-0.251,-0.209,-1.102,0.066,0.028,-0.038,0.042,-0.895,-0.047"
2019-11-01T17:00:00.000-00:00,"2019-11-01 17:00,19.103,19.148,19.148,19.321,-0.237,-0.238,-1.128,-0.069,0.002,-0.045,-0.001,-0.893,0.001"
2019-11-03T22:00:00.000-00:00,"2019-11-03 22:00,19.085,19.137,19.146,19.318,-0.268,-0.317,-1.206,-0.178,-0.021,-0.051,-0.049,-0.892,0.055"
2019-11-04T02:00:00.000-00:00,"2019-11-04 02:00,19.055,19.122,19.143,19.316,-0.35,-0.46,-1.351,-0.298,-0.051,-0.059,-0.11,-0.896,0.123"
2019-11-04T06:00:00.000-00:00,"2019-11-04 06:00,19.055,19.11,19.14,19.313,-0.286,-0.443,-1.337,-0.309,-0.062,-0.062,-0.157,-0.899,0.175"
2019-11-04T10:00:00.000-00:00,"2019-11-04 10:00,19.117,19.111,19.139,19.311,0.031,-0.114,-1.006,-0.246,-0.058,-0.061,-0.146,-0.893,0.163"
2019-11-04T14:00:00.000-00:00,"2019-11-04 14:00,19.162,19.12,19.14,19.31,0.218,0.117,-0.765,-0.145,-0.045,-0.057,-0.102,-0.881,0.115"
2019-11-04T18:00:00.000-00:00,"2019-11-04 18:00,19.169,19.129,19.141,19.308,0.207,0.146,-0.724,-0.04,-0.028,-0.052,-0.061,-0.868,0.07"
2019-11-04T22:00:00.000-00:00,"2019-11-04 22:00,19.169,19.136,19.142,19.307,0.171,0.142,-0.715,0.076,-0.006,-0.046,-0.028,-0.856,0.033"
2019-11-05T02:00:00.000-00:00,"2019-11-05 02:00,19.155,19.14,19.142,19.306,0.08,0.067,-0.78,0.157,0.013,-0.04,-0.013,-0.846,0.015"
2019-11-05T06:00:00.000-00:00,"2019-11-05 06:00,19.116,19.135,19.141,19.304,-0.099,-0.13,-0.97,0.128,0.013,-0.04,-0.03,-0.841,0.036"
2019-11-05T10:00:00.000-00:00,"2019-11-05 10:00,19.166,19.141,19.142,19.302,0.13,0.124,-0.706,0.109,0.013,-0.039,-0.006,-0.829,0.007"
2019-11-05T14:00:00.000-00:00,"2019-11-05 14:00,19.225,19.156,19.145,19.301,0.36,0.419,-0.394,0.143,0.023,-0.036,0.059,-0.81,-0.072"
2019-11-05T18:00:00.000-00:00,"2019-11-05 18:00,19.187,19.162,19.147,19.3,0.131,0.211,-0.587,0.134,0.026,-0.035,0.08,-0.796,-0.1"
