Date,Message
2017-11-08T00:00:00.000-00:00,";7,303;6,914.343;NaN;NaN;5.621;NaN;NaN;7.527;NaN;NaN;NaN;NaN"
2017-11-09T00:00:00.000-00:00,";7,079.99;6,944.461;NaN;NaN;1.952;NaN;NaN;5.238;NaN;NaN;NaN;NaN"
2017-11-10T00:00:00.000-00:00,";6,506.98;6,864.919;NaN;NaN;-5.214;NaN;NaN;1.937;NaN;NaN;NaN;NaN"
2017-11-11T00:00:00.000-00:00,";6,245.05;6,752.216;NaN;NaN;-7.511;NaN;NaN;-0.344;NaN;NaN;NaN;NaN"
2017-11-12T00:00:00.000-00:00,";5,811.03;6,581.091;NaN;NaN;-11.701;NaN;NaN;-3.616;NaN;NaN;NaN;NaN"
2017-11-13T00:00:00.000-00:00,";6,465.99;6,560.163;NaN;NaN;-1.436;NaN;NaN;-5.122;NaN;NaN;NaN;NaN"
2017-11-14T00:00:00.000-00:00,";6,574.99;6,562.859;NaN;NaN;0.185;NaN;NaN;-5.495;NaN;NaN;NaN;NaN"
2017-11-15T00:00:00.000-00:00,";7,240.06;6,685.987;NaN;NaN;8.287;NaN;NaN;-2.606;NaN;NaN;NaN;NaN"
2017-11-16T00:00:00.000-00:00,";7,864.5;6,900.262;NaN;NaN;13.974;NaN;NaN;2.193;NaN;NaN;NaN;NaN"
2017-11-17T00:00:00.000-00:00,";7,699.19;7,045.521;NaN;NaN;9.278;NaN;NaN;7.057;NaN;NaN;NaN;NaN"
2017-11-18T00:00:00.000-00:00,";7,761.94;7,175.779;NaN;NaN;8.169;NaN;NaN;9.384;NaN;NaN;NaN;NaN"
2017-11-19T00:00:00.000-00:00,";8,038;7,332.547;NaN;NaN;9.621;NaN;NaN;11.728;NaN;NaN;NaN;NaN"
2017-11-20T00:00:00.000-00:00,";8,212;7,492.447;NaN;NaN;9.604;NaN;NaN;12.062;NaN;NaN;NaN;NaN"
2017-11-21T00:00:00.000-00:00,";8,119.51;7,606.459;NaN;NaN;6.745;NaN;NaN;10.234;NaN;NaN;NaN;NaN"
2017-11-22T00:00:00.000-00:00,";8,205.92;7,715.452;NaN;NaN;6.357;NaN;NaN;9.509;NaN;NaN;NaN;NaN"
2017-11-23T00:00:00.000-00:00,";8,019.99;7,770.822;NaN;NaN;3.206;NaN;NaN;8.292;NaN;NaN;NaN;NaN"
2017-11-24T00:00:00.000-00:00,";8,138;7,837.582;6,194.126;NaN;3.833;31.383;NaN;6.888;NaN;NaN;26.532;NaN"
2017-11-25T00:00:00.000-00:00,";8,700.01;7,994.387;6,283.622;NaN;8.826;38.455;NaN;6.699;NaN;NaN;27.226;NaN"
2017-11-26T00:00:00.000-00:00,";9,128.02;8,200.502;6,385.208;NaN;11.311;42.956;NaN;7.81;NaN;NaN;28.43;NaN"
2017-11-27T00:00:00.000-00:00,";9,650;8,464.047;6,501.808;NaN;14.012;48.42;NaN;9.703;NaN;NaN;30.18;NaN"
2017-11-28T00:00:00.000-00:00,";9,896.8;8,724.548;6,623.057;NaN;13.436;49.429;NaN;12.273;NaN;NaN;31.73;NaN"
2017-11-29T00:00:00.000-00:00,";9,687.88;8,899.699;6,732.515;NaN;8.856;43.897;NaN;13.552;8.692;NaN;32.19;NaN"
2017-11-30T00:00:00.000-00:00,";9,838.96;9,070.474;6,843.46;NaN;8.472;43.772;NaN;13.461;8.909;NaN;32.542;NaN"
