Date,Message
2020-07-20T15:30:00.000-00:00,"2020-07-20 15:30,452.68,438.541,438.526,427.826,3.224,3.228,5.809,2.37,0.189,0.175,0.004,2.501,0.001"
2020-07-20T16:30:00.000-00:00,"2020-07-20 16:30,452.55,441.088,439.026,428.072,2.599,3.08,5.718,2.783,0.346,0.22,0.47,2.559,0.184"
2020-07-20T17:30:00.000-00:00,"2020-07-20 17:30,452.39,443.143,439.504,428.314,2.087,2.932,5.621,3.116,0.496,0.264,0.828,2.613,0.317"
2020-07-20T18:30:00.000-00:00,"2020-07-20 18:30,455.02,445.302,440.058,428.58,2.182,3.4,6.169,2.869,0.544,0.28,1.192,2.678,0.445"
2020-07-20T19:30:00.000-00:00,"2020-07-20 19:30,455.26,447.113,440.601,428.845,1.822,3.327,6.16,2.69,0.593,0.297,1.478,2.741,0.539"
2020-07-21T13:30:00.000-00:00,"2020-07-21 13:30,450.5,447.729,440.954,429.061,0.619,2.165,4.997,2.095,0.554,0.289,1.536,2.772,0.554"
2020-07-21T14:30:00.000-00:00,"2020-07-21 14:30,447.7,447.724,441.195,429.246,-0.005,1.474,4.299,1.504,0.494,0.274,1.48,2.784,0.532"
2020-07-21T15:30:00.000-00:00,"2020-07-21 15:30,443.27,446.914,441.269,429.386,-0.815,0.453,3.234,0.851,0.402,0.25,1.279,2.768,0.462"
2020-07-21T16:30:00.000-00:00,"2020-07-21 16:30,446.78,446.889,441.466,429.559,-0.024,1.204,4.009,0.356,0.32,0.228,1.228,2.772,0.443"
2020-07-21T17:30:00.000-00:00,"2020-07-21 17:30,448.5,447.182,441.717,429.747,0.295,1.536,4.364,0.016,0.253,0.21,1.237,2.785,0.444"
2020-07-21T18:30:00.000-00:00,"2020-07-21 18:30,443.42,446.498,441.778,429.883,-0.689,0.372,3.149,-0.275,0.187,0.192,1.068,2.767,0.386"
2020-07-21T19:30:00.000-00:00,"2020-07-21 19:30,444.51,446.137,441.876,430.029,-0.365,0.596,3.368,-0.354,0.154,0.182,0.964,2.755,0.35"
2020-07-22T13:30:00.000-00:00,"2020-07-22 13:30,446.24,446.156,442.032,430.19,0.019,0.952,3.731,-0.17,0.173,0.187,0.933,2.753,0.339"
2020-07-22T14:30:00.000-00:00,"2020-07-22 14:30,443.94,445.753,442.1,430.327,-0.407,0.416,3.163,-0.254,0.144,0.179,0.826,2.736,0.302"
2020-07-22T15:30:00.000-00:00,"2020-07-22 15:30,445.36,445.681,442.216,430.476,-0.072,0.711,3.457,-0.336,0.113,0.17,0.784,2.727,0.287"
2020-07-22T16:30:00.000-00:00,"2020-07-22 16:30,444.41,445.45,442.295,430.615,-0.234,0.478,3.204,-0.235,0.117,0.17,0.713,2.712,0.263"
2020-07-22T17:30:00.000-00:00,"2020-07-22 17:30,443.17,445.036,442.326,430.74,-0.419,0.191,2.886,-0.247,0.102,0.165,0.613,2.69,0.228"
2020-07-22T18:30:00.000-00:00,"2020-07-22 18:30,443.37,444.733,442.363,430.866,-0.306,0.228,2.902,-0.319,0.075,0.157,0.536,2.668,0.201"
2020-07-22T19:30:00.000-00:00,"2020-07-22 19:30,445.56,444.883,442.477,431.012,0.152,0.697,3.375,-0.195,0.085,0.159,0.544,2.66,0.204"
2020-07-23T13:30:00.000-00:00,"2020-07-23 13:30,444.47,444.808,442.548,431.146,-0.076,0.434,3.09,-0.196,0.075,0.155,0.511,2.645,0.193"
