Date,Message
2024-07-24T04:00:00.000-00:00,"2024-07-24 04:00,2419.1,2412.449,2409.776,2415.708,0.276,0.387,0.14,0.197,0.037,-0.003,0.111,-0.246,-0.452"
2024-07-24T05:00:00.000-00:00,"2024-07-24 05:00,2417.1,2413.295,2410.038,2415.722,0.158,0.293,0.057,0.222,0.048,0,0.135,-0.235,-0.574"
2024-07-24T06:00:00.000-00:00,"2024-07-24 06:00,2418.5,2414.241,2410.34,2415.75,0.176,0.339,0.114,0.252,0.06,0.004,0.162,-0.224,-0.723"
2024-07-24T07:00:00.000-00:00,"2024-07-24 07:00,2415.6,2414.488,2410.528,2415.748,0.046,0.21,-0.006,0.208,0.058,0.004,0.164,-0.216,-0.76"
2024-07-24T08:00:00.000-00:00,"2024-07-24 08:00,2412.8,2414.181,2410.609,2415.719,-0.057,0.091,-0.121,0.133,0.049,0.002,0.148,-0.212,-0.701"
2024-07-24T09:00:00.000-00:00,"2024-07-24 09:00,2414.1,2414.166,2410.733,2415.703,-0.003,0.14,-0.066,0.071,0.04,0,0.142,-0.206,-0.692"
2024-07-24T10:00:00.000-00:00,"2024-07-24 10:00,2414.4,2414.209,2410.864,2415.69,0.008,0.147,-0.053,0.038,0.034,-0.001,0.139,-0.2,-0.694"
2024-07-24T11:00:00.000-00:00,"2024-07-24 11:00,2418.5,2414.989,2411.137,2415.718,0.145,0.305,0.115,0.031,0.033,-0.001,0.16,-0.19,-0.843"
2024-07-24T12:00:00.000-00:00,"2024-07-24 12:00,2422.4,2416.337,2411.539,2415.784,0.251,0.45,0.274,0.077,0.042,0.001,0.199,-0.176,-1.132"
2024-07-24T13:00:00.000-00:00,"2024-07-24 13:00,2422.7,2417.494,2411.938,2415.853,0.215,0.446,0.283,0.137,0.055,0.006,0.23,-0.162,-1.421"
2024-07-24T14:00:00.000-00:00,"2024-07-24 14:00,2431.2,2419.986,2412.626,2416.006,0.463,0.77,0.629,0.241,0.078,0.013,0.305,-0.14,-2.181"
2024-07-24T15:00:00.000-00:00,"2024-07-24 15:00,2425.6,2421.006,2413.089,2416.101,0.19,0.518,0.393,0.282,0.092,0.017,0.328,-0.125,-2.632"
2024-07-24T16:00:00.000-00:00,"2024-07-24 16:00,2419.5,2420.733,2413.318,2416.135,-0.051,0.256,0.139,0.238,0.09,0.017,0.307,-0.117,-2.635"
2024-07-24T17:00:00.000-00:00,"2024-07-24 17:00,2409.6,2418.708,2413.185,2416.07,-0.377,-0.149,-0.268,0.098,0.068,0.012,0.229,-0.119,-1.917"
2024-07-24T18:00:00.000-00:00,"2024-07-24 18:00,2408.9,2416.925,2413.032,2415.999,-0.332,-0.171,-0.294,-0.024,0.045,0.006,0.161,-0.123,-1.314"
2024-07-24T19:00:00.000-00:00,"2024-07-24 19:00,2399,2413.666,2412.531,2415.83,-0.608,-0.561,-0.697,-0.261,-0.004,-0.007,0.047,-0.137,-0.345"
2024-07-24T20:00:00.000-00:00,"2024-07-24 20:00,2397.5,2410.727,2411.994,2415.647,-0.549,-0.601,-0.751,-0.425,-0.045,-0.019,-0.053,-0.151,0.348"
2024-07-24T22:00:00.000-00:00,"2024-07-24 22:00,2397.6,2408.34,2411.48,2415.468,-0.446,-0.576,-0.74,-0.512,-0.076,-0.028,-0.13,-0.165,0.789"
2024-07-24T23:00:00.000-00:00,"2024-07-24 23:00,2398.1,2406.478,2411.002,2415.295,-0.348,-0.535,-0.712,-0.506,-0.09,-0.032,-0.188,-0.178,1.056"
2024-07-25T00:00:00.000-00:00,"2024-07-25 00:00,2396.6,2404.682,2410.488,2415.109,-0.336,-0.576,-0.766,-0.507,-0.105,-0.037,-0.241,-0.191,1.259"
2024-07-25T01:00:00.000-00:00,"2024-07-25 01:00,2375.4,2399.358,2409.235,2414.714,-0.999,-1.404,-1.628,-0.593,-0.137,-0.046,-0.41,-0.227,1.807"
2024-07-25T02:00:00.000-00:00,"2024-07-25 02:00,2371.7,2394.329,2407.894,2414.286,-0.945,-1.503,-1.764,-0.68,-0.17,-0.056,-0.563,-0.265,2.128"
2024-07-25T03:00:00.000-00:00,"2024-07-25 03:00,2373.8,2390.597,2406.677,2413.883,-0.703,-1.366,-1.661,-0.737,-0.199,-0.066,-0.668,-0.299,2.238"
2024-07-25T04:00:00.000-00:00,"2024-07-25 04:00,2376.9,2388.106,2405.613,2413.515,-0.469,-1.194,-1.517,-0.763,-0.224,-0.074,-0.728,-0.327,2.223"
2024-07-25T05:00:00.000-00:00,"2024-07-25 05:00,2375.6,2385.833,2404.541,2413.138,-0.429,-1.204,-1.556,-0.784,-0.247,-0.082,-0.778,-0.356,2.184"
2024-07-25T06:00:00.000-00:00,"2024-07-25 06:00,2371.2,2383.172,2403.351,2412.72,-0.502,-1.338,-1.721,-0.675,-0.244,-0.083,-0.84,-0.388,2.162"
2024-07-25T07:00:00.000-00:00,"2024-07-25 07:00,2373.6,2381.432,2402.288,2412.331,-0.329,-1.194,-1.606,-0.539,-0.233,-0.081,-0.868,-0.416,2.085"
2024-07-25T08:00:00.000-00:00,"2024-07-25 08:00,2374.4,2380.153,2401.292,2411.954,-0.242,-1.12,-1.557,-0.437,-0.224,-0.08,-0.88,-0.442,1.992"
2024-07-25T09:00:00.000-00:00,"2024-07-25 09:00,2373.2,2378.889,2400.289,2411.568,-0.239,-1.129,-1.591,-0.386,-0.221,-0.081,-0.892,-0.468,1.906"
2024-07-25T10:00:00.000-00:00,"2024-07-25 10:00,2380.8,2379.236,2399.593,2411.262,0.066,-0.783,-1.263,-0.276,-0.206,-0.078,-0.848,-0.484,1.753"
2024-07-25T11:00:00.000-00:00,"2024-07-25 11:00,2367.8,2377.157,2398.457,2410.829,-0.394,-1.278,-1.785,-0.252,-0.204,-0.078,-0.888,-0.513,1.731"
2024-07-25T12:00:00.000-00:00,"2024-07-25 12:00,2370.5,2375.947,2397.459,2410.428,-0.229,-1.124,-1.656,-0.23,-0.201,-0.079,-0.897,-0.538,1.668"
2024-07-25T13:00:00.000-00:00,"2024-07-25 13:00,2364.2,2373.811,2396.271,2409.968,-0.405,-1.338,-1.899,-0.266,-0.209,-0.082,-0.937,-0.568,1.649"
2024-07-25T14:00:00.000-00:00,"2024-07-25 14:00,2366.1,2372.409,2395.193,2409.532,-0.266,-1.215,-1.802,-0.272,-0.212,-0.084,-0.951,-0.595,1.599"
2024-07-25T15:00:00.000-00:00,"2024-07-25 15:00,2362.5,2370.607,2394.026,2409.064,-0.342,-1.317,-1.933,-0.363,-0.232,-0.091,-0.978,-0.624,1.567"
2024-07-25T16:00:00.000-00:00,"2024-07-25 16:00,2361.9,2369.024,2392.879,2408.594,-0.301,-1.295,-1.939,-0.342,-0.233,-0.093,-0.997,-0.652,1.528"
2024-07-25T17:00:00.000-00:00,"2024-07-25 17:00,2355.3,2366.529,2391.536,2408.064,-0.474,-1.515,-2.191,-0.396,-0.247,-0.098,-1.046,-0.686,1.524"
2024-07-25T18:00:00.000-00:00,"2024-07-25 18:00,2356.4,2364.687,2390.282,2407.55,-0.35,-1.417,-2.125,-0.384,-0.25,-0.1,-1.071,-0.717,1.493"
2024-07-25T19:00:00.000-00:00,"2024-07-25 19:00,2361.7,2364.144,2389.261,2407.094,-0.103,-1.154,-1.886,-0.348,-0.248,-0.101,-1.051,-0.741,1.419"
2024-07-25T20:00:00.000-00:00,"2024-07-25 20:00,2363.4,2364.009,2388.337,2406.659,-0.026,-1.044,-1.797,-0.278,-0.238,-0.1,-1.019,-0.761,1.338"
2024-07-25T22:00:00.000-00:00,"2024-07-25 22:00,2362.2,2363.68,2387.404,2406.217,-0.063,-1.056,-1.829,-0.226,-0.229,-0.099,-0.994,-0.782,1.271"
2024-07-25T23:00:00.000-00:00,"2024-07-25 23:00,2362.8,2363.52,2386.525,2405.785,-0.03,-0.994,-1.787,-0.127,-0.21,-0.095,-0.964,-0.801,1.204"
2024-07-26T00:00:00.000-00:00,"2024-07-26 00:00,2361.6,2363.171,2385.635,2405.345,-0.066,-1.007,-1.819,-0.064,-0.194,-0.092,-0.942,-0.819,1.149"
2024-07-26T01:00:00.000-00:00,"2024-07-26 01:00,2372,2364.776,2385.148,2405.013,0.305,-0.551,-1.373,0.027,-0.172,-0.086,-0.854,-0.826,1.034"
