Date,Message
2025-02-07T10:00:00.000-00:00,";97,261.51;97,129.348;97,532.425;99,262.316;0.136;-0.278;-2.016;-0.092;-0.103;-0.116;-0.413;-1.743"
2025-02-07T11:00:00.000-00:00,";97,750;97,242.194;97,540.195;99,247.268;0.522;0.215;-1.509;0.113;-0.063;-0.105;-0.306;-1.72"
2025-02-07T12:00:00.000-00:00,";97,963.58;97,373.355;97,555.316;99,234.495;0.606;0.418;-1.281;0.318;-0.016;-0.091;-0.187;-1.692"
2025-02-07T13:00:00.000-00:00,";98,828.01;97,637.838;97,600.769;99,230.45;1.219;1.257;-0.406;0.599;0.05;-0.072;0.038;-1.642"
2025-02-07T14:00:00.000-00:00,";99,710.92;98,014.762;97,676.132;99,235.231;1.731;2.083;0.479;0.942;0.137;-0.048;0.347;-1.571"
2025-02-07T15:00:00.000-00:00,";98,283.98;98,063.711;97,697.841;99,225.766;0.225;0.6;-0.949;0.962;0.17;-0.037;0.374;-1.54"
2025-02-07T16:00:00.000-00:00,";97,827.66;98,020.792;97,702.477;99,211.854;-0.197;0.128;-1.395;0.801;0.166;-0.036;0.326;-1.521"
2025-02-07T17:00:00.000-00:00,";97,434.78;97,914.245;97,692.917;99,194.172;-0.49;-0.264;-1.774;0.555;0.141;-0.041;0.227;-1.513"
2025-02-07T18:00:00.000-00:00,";97,751.99;97,884.744;97,695.026;99,179.822;-0.136;0.058;-1.44;0.253;0.097;-0.051;0.194;-1.497"
2025-02-07T19:00:00.000-00:00,";96,898.56;97,705.438;97,666.581;99,157.123;-0.826;-0.786;-2.278;-0.316;-0.01;-0.079;0.04;-1.503"
2025-02-07T20:00:00.000-00:00,";95,764.31;97,352.505;97,598.643;99,123.363;-1.631;-1.879;-3.389;-0.725;-0.102;-0.103;-0.252;-1.538"
2025-02-07T21:00:00.000-00:00,";96,011.42;97,108.672;97,541.956;99,092.399;-1.13;-1.569;-3.109;-0.931;-0.164;-0.12;-0.444;-1.565"
2025-02-07T22:00:00.000-00:00,";96,062.76;96,918.506;97,489.128;99,062.253;-0.883;-1.463;-3.028;-1.017;-0.209;-0.133;-0.585;-1.588"
2025-02-07T23:00:00.000-00:00,";96,506.8;96,843.65;97,454.045;99,036.826;-0.348;-0.972;-2.555;-1.064;-0.247;-0.144;-0.626;-1.598"
2025-02-08T00:00:00.000-00:00,";96,650.14;96,808.467;97,425.334;99,013.078;-0.164;-0.796;-2.386;-0.918;-0.247;-0.145;-0.633;-1.604"
2025-02-08T01:00:00.000-00:00,";96,509.2;96,754.054;97,392.615;98,988.163;-0.253;-0.907;-2.504;-0.615;-0.211;-0.136;-0.656;-1.612"
2025-02-08T02:00:00.000-00:00,";96,751.01;96,753.501;97,369.7;98,965.903;-0.003;-0.635;-2.238;-0.366;-0.177;-0.128;-0.633;-1.613"
2025-02-08T03:00:00.000-00:00,";96,699.23;96,743.633;97,345.755;98,943.349;-0.046;-0.664;-2.268;-0.18;-0.147;-0.12;-0.619;-1.615"
2025-02-08T04:00:00.000-00:00,";96,300.01;96,662.975;97,308.407;98,917.047;-0.375;-1.036;-2.646;-0.187;-0.149;-0.121;-0.663;-1.626"
2025-02-08T05:00:00.000-00:00,";96,211.08;96,580.812;97,269.217;98,890.122;-0.383;-1.088;-2.709;-0.235;-0.16;-0.124;-0.708;-1.639"
2025-02-08T06:00:00.000-00:00,";95,994.55;96,474.219;97,223.693;98,861.311;-0.497;-1.264;-2.9;-0.289;-0.173;-0.128;-0.771;-1.656"
2025-02-08T07:00:00.000-00:00,";96,209.92;96,426.165;97,187.487;98,834.929;-0.224;-1.006;-2.656;-0.338;-0.187;-0.132;-0.783;-1.667"
2025-02-08T08:00:00.000-00:00,";95,893.84;96,329.378;97,141.285;98,805.664;-0.452;-1.284;-2.947;-0.428;-0.21;-0.139;-0.836;-1.684"
2025-02-08T09:00:00.000-00:00,";96,163.05;96,299.137;97,106.348;98,779.369;-0.141;-0.971;-2.649;-0.376;-0.208;-0.139;-0.831;-1.694"
2025-02-08T10:00:00.000-00:00,";96,050.64;96,253.956;97,068.644;98,752.218;-0.211;-1.049;-2.736;-0.338;-0.206;-0.139;-0.839;-1.705"
2025-02-08T11:00:00.000-00:00,";96,120;96,229.6;97,034.764;98,726.027;-0.114;-0.943;-2.64;-0.254;-0.194;-0.137;-0.83;-1.713"
2025-02-08T12:00:00.000-00:00,";96,059.24;96,198.625;96,999.924;98,699.492;-0.145;-0.97;-2.675;-0.236;-0.193;-0.137;-0.826;-1.722"
2025-02-08T13:00:00.000-00:00,";96,246.7;96,207.366;96,973.023;98,675.086;0.041;-0.749;-2.461;-0.127;-0.173;-0.132;-0.79;-1.725"
2025-02-08T14:00:00.000-00:00,";96,091.34;96,186.271;96,941.534;98,649.377;-0.099;-0.877;-2.593;-0.117;-0.17;-0.132;-0.779;-1.731"
2025-02-08T15:00:00.000-00:00,";95,843.74;96,123.992;96,902.327;98,621.46;-0.292;-1.092;-2.817;-0.135;-0.171;-0.132;-0.803;-1.743"
2025-02-08T16:00:00.000-00:00,";96,132.07;96,125.461;96,874.818;98,596.69;0.007;-0.767;-2.5;-0.108;-0.165;-0.131;-0.774;-1.746"
2025-02-08T17:00:00.000-00:00,";96,377.71;96,171.324;96,857.064;98,574.61;0.215;-0.495;-2.229;-0.028;-0.147;-0.127;-0.708;-1.742"
2025-02-08T18:00:00.000-00:00,";96,512;96,233.265;96,844.741;98,554.087;0.29;-0.344;-2.072;0.027;-0.132;-0.123;-0.631;-1.734"
2025-02-08T19:00:00.000-00:00,";96,579.99;96,296.306;96,835.285;98,534.444;0.295;-0.264;-1.984;0.114;-0.11;-0.117;-0.557;-1.724"
2025-02-08T20:00:00.000-00:00,";96,455.92;96,325.327;96,821.736;98,513.762;0.136;-0.378;-2.089;0.209;-0.083;-0.109;-0.513;-1.718"
2025-02-08T21:00:00.000-00:00,";96,527.36;96,362.06;96,811.223;98,493.997;0.172;-0.293;-1.997;0.246;-0.066;-0.104;-0.464;-1.709"
2025-02-08T22:00:00.000-00:00,";96,473.9;96,382.395;96,799.176;98,473.897;0.095;-0.336;-2.031;0.219;-0.06;-0.102;-0.431;-1.701"
