Date,Message
2025-02-13T05:00:00.000-00:00,"2025-02-13 05:00,3152220595926,3162419206360.115,3134689048896.975,3154098857191.853,-0.322,0.559,-0.06,0.249,0.225,0.027,0.885,-0.615,-1.438"
2025-02-13T06:00:00.000-00:00,"2025-02-13 06:00,3128774424807,3156301973350.458,3134477812322.333,3153846872790.013,-0.872,-0.182,-0.795,-0.152,0.147,0.007,0.696,-0.614,-1.134"
2025-02-13T07:00:00.000-00:00,"2025-02-13 07:00,3128547637731,3151255730510.557,3134266020372.642,3153595139107.834,-0.721,-0.182,-0.794,-0.389,0.089,-0.008,0.542,-0.613,-0.884"
2025-02-13T08:00:00.000-00:00,"2025-02-13 08:00,3120714650761,3145702806919.728,3133782042886.512,3153267970069.557,-0.794,-0.417,-1.032,-0.65,0.019,-0.026,0.38,-0.618,-0.616"
2025-02-13T09:00:00.000-00:00,"2025-02-13 09:00,3134527546852,3143670941452.868,3133808668028.137,3153081498196.746,-0.291,0.023,-0.588,-0.664,-0.007,-0.033,0.315,-0.611,-0.515"
2025-02-13T10:00:00.000-00:00,"2025-02-13 10:00,3130482799370,3141273097437.801,3133689887004.632,3152856635521.853,-0.344,-0.102,-0.71,-0.669,-0.032,-0.039,0.242,-0.608,-0.398"
2025-02-13T11:00:00.000-00:00,"2025-02-13 11:00,3121735675202,3137720838849.474,3133262950868.824,3152546974225.138,-0.509,-0.368,-0.977,-0.589,-0.039,-0.041,0.142,-0.612,-0.233"
2025-02-13T12:00:00.000-00:00,"2025-02-13 12:00,3115144941270,3133616130198.66,3132615879097.437,3152174814693.246,-0.589,-0.558,-1.175,-0.56,-0.053,-0.045,0.032,-0.62,-0.051"
2025-02-13T13:00:00.000-00:00,"2025-02-13 13:00,3125085388442,3132065086242.904,3132346933002.6,3151905268163.382,-0.223,-0.232,-0.851,-0.434,-0.046,-0.043,-0.009,-0.621,0.015"
2025-02-13T14:00:00.000-00:00,"2025-02-13 14:00,3112021427257,3128420784609.103,3131621022083.114,3151508414025.01,-0.524,-0.626,-1.253,-0.485,-0.07,-0.05,-0.102,-0.631,0.162"
2025-02-13T15:00:00.000-00:00,"2025-02-13 15:00,3120855391253,3127045258544.357,3131236535267.753,3151203408823.299,-0.198,-0.332,-0.963,-0.453,-0.078,-0.052,-0.134,-0.634,0.211"
2025-02-13T16:00:00.000-00:00,"2025-02-13 16:00,3095199917433,3121255196524.11,3129949513202.226,3150646160152.749,-0.835,-1.11,-1.76,-0.525,-0.106,-0.06,-0.278,-0.657,0.423"
2025-02-13T17:00:00.000-00:00,"2025-02-13 17:00,3104092920204,3118134782647.727,3129026063452.29,3150182943834.851,-0.45,-0.797,-1.463,-0.494,-0.115,-0.063,-0.348,-0.672,0.518"
2025-02-13T18:00:00.000-00:00,"2025-02-13 18:00,3116071218680,3117759589199.049,3128563390424.708,3149843523684.056,-0.054,-0.399,-1.072,-0.457,-0.121,-0.065,-0.345,-0.676,0.511"
2025-02-13T19:00:00.000-00:00,"2025-02-13 19:00,3107579368288,3115908639942.495,3127813961062.683,3149422984824.394,-0.267,-0.647,-1.329,-0.4,-0.122,-0.066,-0.381,-0.686,0.555"
2025-02-13T20:00:00.000-00:00,"2025-02-13 20:00,3126771570118,3117883718156.223,3127776732814.658,3149197597613.385,0.285,-0.032,-0.712,-0.293,-0.11,-0.064,-0.316,-0.68,0.465"
2025-02-13T21:00:00.000-00:00,"2025-02-13 21:00,3136426843328,3121255195460.182,3128085665332.992,3149070525431.441,0.486,0.267,-0.402,0,-0.06,-0.05,-0.218,-0.666,0.328"
2025-02-13T22:00:00.000-00:00,"2025-02-13 22:00,3133620347259,3123503404878.149,3128283332544.635,3148916792315.297,0.324,0.171,-0.486,0.172,-0.024,-0.04,-0.153,-0.655,0.233"
2025-02-13T23:00:00.000-00:00,"2025-02-13 23:00,3141282168487,3126735907352.485,3128747576685.434,3148840825909.045,0.465,0.401,-0.24,0.288,0.006,-0.032,-0.064,-0.638,0.101"
2025-02-14T00:00:00.000-00:00,"2025-02-14 00:00,3146905505127,3130403106947.852,3129396074129.775,3148821568985.841,0.527,0.56,-0.061,0.465,0.051,-0.019,0.032,-0.617,-0.052"
2025-02-14T01:00:00.000-00:00,"2025-02-14 01:00,3142893944397,3132674168302.242,3129878140925.033,3148762587646.648,0.326,0.416,-0.186,0.474,0.067,-0.014,0.089,-0.6,-0.149"
2025-02-14T02:00:00.000-00:00,"2025-02-14 02:00,3145220859667,3134955384914.016,3130426095165.818,3148727346572.224,0.327,0.473,-0.111,0.439,0.075,-0.011,0.145,-0.581,-0.249"
2025-02-14T03:00:00.000-00:00,"2025-02-14 03:00,3166799488129,3140745221862.195,3131725144914.503,3148907168876.272,0.83,1.12,0.568,0.552,0.11,0,0.288,-0.546,-0.528"
2025-02-14T04:00:00.000-00:00,"2025-02-14 04:00,3152198544525,3142827644164.523,3132456337757.735,3148939918882.727,0.298,0.63,0.103,0.515,0.119,0.003,0.331,-0.523,-0.633"
2025-02-14T05:00:00.000-00:00,"2025-02-14 05:00,3148686568883,3143892903204.246,3133035988869.352,3148937397987.207,0.152,0.5,-0.008,0.431,0.116,0.004,0.347,-0.505,-0.686"
