start_idx,duration,arrival_velocity,arrival_accel,h_during,energy_slope,outcome,impact_type,dynamics_type
26,4,-0.17038787878787873,0.035500000000000004,0.5,0.0,0.422,VIOLENTO,TRANSITORIO
31,3,-0.19894545454545454,0.08062499999999997,0.5,0.0,-0.487,VIOLENTO,TRANSITORIO
78,4,-0.42094545454545457,-0.0021249999999999603,0.5,0.0,0.026,VIOLENTO,TRANSITORIO
100,3,-0.3029515151515152,0.026374999999999926,0.5,0.0,1.254,VIOLENTO,TRANSITORIO
129,5,-0.16783636363636348,0.25137499999999996,0.5,0.0,2.174,VIOLENTO,TRANSITORIO
151,4,-0.012321212121212096,-0.07787499999999997,0.5,0.0,0.147,LENTO,TRANSITORIO
157,10,-0.3387636363636364,0.25625,0.5,-0.002404521256645863,2.109,VIOLENTO,TRANSITORIO
205,3,0.10713333333333339,-0.44425000000000003,0.5,0.0,1.11,LENTO,TRANSITORIO
209,4,-0.40763030303030284,-0.15037499999999998,0.5,0.0,0.457,VIOLENTO,TRANSITORIO
232,3,0.21575757575757587,-0.17024999999999996,0.5,0.0,-1.442,VIOLENTO,TRANSITORIO
238,3,-0.6785393939393938,-0.52325,0.5,0.0,-0.453,VIOLENTO,TRANSITORIO
246,5,-0.04735151515151506,0.023875000000000035,0.5,0.0,0.923,LENTO,TRANSITORIO
262,5,0.388290909090909,0.081375,0.5,0.0,1.863,VIOLENTO,TRANSITORIO
286,8,-0.0032424242424241257,-0.08499999999999988,0.5,0.02085421885661805,-0.575,LENTO,TRANSITORIO
314,3,-0.10794545454545443,-0.24062499999999998,0.5,0.0,-0.725,LENTO,TRANSITORIO
349,6,-0.0820484848484847,-0.36800000000000005,0.5,-0.05865443674752507,-0.745,LENTO,TRANSITORIO
378,3,0.15784848484848482,-0.07962499999999997,0.5,0.0,-3.603,VIOLENTO,TRANSITORIO
409,3,-0.297090909090909,0.331375,0.5,0.0,0.746,VIOLENTO,TRANSITORIO
418,6,0.22813333333333333,-0.18612499999999993,0.5,0.050979687956711775,-0.093,VIOLENTO,TRANSITORIO
