start_idx,duration,arrival_velocity,arrival_accel,h_during,energy_slope,outcome,impact_type,dynamics_type
388,4,-0.11612727272727266,-0.05587500000000001,0.5,0.0,-2.338,LENTO,TRANSITORIO
614,10,-0.13058181818181838,0.12375000000000003,0.5,0.023793994482705295,-0.869,LENTO,TRANSITORIO
878,6,1.3385515151515148,-0.08525000000000002,0.5,0.009428550651021378,9.609,VIOLENTO,TRANSITORIO
1238,12,-0.6733090909090907,-0.196625,0.5,-0.03167075122762851,-1.932,LENTO,TRANSITORIO
1324,4,0.09162424242424244,-0.175875,0.5,0.0,-5.569,LENTO,TRANSITORIO
1602,4,0.5598121212121212,-0.07099999999999995,0.5,0.0,-3.45,LENTO,TRANSITORIO
1858,3,0.7018424242424243,0.6233750000000001,0.5,0.0,3.602,LENTO,TRANSITORIO
1884,3,-0.29925454545454544,0.005250000000000032,0.5,0.0,-0.872,LENTO,TRANSITORIO
2035,5,-0.18937575757575728,-0.012875000000000025,0.5,0.0,-10.051,LENTO,TRANSITORIO
2172,8,0.6581818181818179,0.21987500000000004,0.5,0.050821033984210236,5.229,LENTO,TRANSITORIO
2278,3,0.16981818181818176,0.0933750000000001,0.5,0.0,-2.78,LENTO,TRANSITORIO
2328,3,0.44004848484848486,-0.03575000000000002,0.5,0.0,0.382,LENTO,TRANSITORIO
2335,5,0.003054545454545393,0.10950000000000001,0.5,0.0,-2.355,LENTO,TRANSITORIO
2380,3,0.08770303030303032,-0.012749999999999984,0.5,0.0,-2.707,LENTO,TRANSITORIO
2403,4,0.24552727272727257,-0.014499999999999985,0.5,0.0,-2.765,LENTO,TRANSITORIO
2755,4,-0.09409090909090902,0.016625,0.5,0.0,-3.463,LENTO,TRANSITORIO
3093,15,-0.516672727272727,-0.282875,0.5,-0.014693519136883583,0.29,LENTO,PERSISTENTE
3186,3,-0.5632181818181816,0.04400000000000015,0.5,0.0,2.346,LENTO,TRANSITORIO
3280,3,0.6967636363636356,0.6853749999999998,0.5,0.0,9.731,LENTO,TRANSITORIO
3511,7,-0.7494848484848484,-0.03325,0.5,-0.023482465983666215,-1.43,LENTO,TRANSITORIO
3579,5,-0.6286666666666665,-0.10762500000000005,0.5,0.0,2.482,LENTO,TRANSITORIO
3588,3,0.33887272727272727,-0.043250000000000025,0.5,0.0,2.64,LENTO,TRANSITORIO
3857,10,0.5457757575757575,-0.274375,0.5,-0.04843235685912905,1.035,LENTO,TRANSITORIO
4057,3,0.07884848484848489,-0.05049999999999999,0.5,0.0,0.472,LENTO,TRANSITORIO
4132,3,0.03490909090909088,0.247125,0.5,0.0,-1.238,LENTO,TRANSITORIO
4178,20,0.24486060606060603,-0.053000000000000005,0.5,-0.015108526192673145,0.507,LENTO,PERSISTENTE
4298,5,0.34165454545454554,0.6815,0.5,0.0,-5.595,LENTO,TRANSITORIO
4392,6,0.20272121212121202,0.14024999999999999,0.5,-0.07135114092206482,-0.323,LENTO,TRANSITORIO
4438,4,-0.2737818181818181,-0.05062500000000002,0.5,0.0,-0.484,LENTO,TRANSITORIO
4552,3,-0.06760606060606061,0.008874999999999994,0.5,0.0,-1.12,LENTO,TRANSITORIO
5114,13,-0.4612181818181813,-0.3086250000000001,0.5,-0.020552049718118016,-0.621,LENTO,PERSISTENTE
5128,3,-0.13842424242424234,-0.41775000000000007,0.5,0.0,-0.734,LENTO,TRANSITORIO
5137,3,0.19763030303030313,-0.21062499999999998,0.5,0.0,-1.165,LENTO,TRANSITORIO
5198,17,0.34095151515151484,0.0006249999999999867,0.5,-0.03390479586209644,1.611,LENTO,PERSISTENTE
5231,3,-0.24872727272727255,-0.21300000000000002,0.5,0.0,1.628,LENTO,TRANSITORIO
5517,3,-0.9868606060606052,0.07099999999999984,0.5,0.0,4.864,VIOLENTO,TRANSITORIO
5598,13,-0.7907212121212119,-0.08562499999999995,0.5,-0.031763419145235096,3.036,LENTO,PERSISTENTE
5660,6,-0.10778787878787882,-0.264875,0.5,0.0566705829850685,-0.949,LENTO,TRANSITORIO
5716,4,0.11371515151515155,-0.13274999999999998,0.5,0.0,1.12,LENTO,TRANSITORIO
5789,15,0.7795151515151513,-0.05399999999999991,0.5,-0.01727242247484057,-2.699,LENTO,PERSISTENTE
5845,3,0.31464242424242406,0.055500000000000105,0.5,0.0,2.402,LENTO,TRANSITORIO
6020,5,-0.5633272727272723,-0.056125000000000036,0.5,0.0,-1.513,LENTO,TRANSITORIO
6026,5,0.1771636363636362,0.521125,0.5,0.0,-2.097,LENTO,TRANSITORIO
6321,4,-0.18157575757575764,-0.14137499999999997,0.5,0.0,-3.907,LENTO,TRANSITORIO
6328,3,-0.36002424242424247,0.32100000000000006,0.5,0.0,-5.419,LENTO,TRANSITORIO
6447,5,0.0453151515151514,0.5038750000000001,0.5,0.0,5.531,LENTO,TRANSITORIO
6454,3,0.0987090909090909,-0.018749999999999933,0.5,0.0,4.917,LENTO,TRANSITORIO
6597,4,0.020575757575757605,-0.005374999999999991,0.5,0.0,2.714,LENTO,TRANSITORIO
6694,4,-0.442551515151515,-0.134125,0.5,0.0,-0.332,LENTO,TRANSITORIO
6707,3,-0.03640000000000013,0.37975000000000003,0.5,0.0,0.426,LENTO,TRANSITORIO
7166,4,-0.5675393939393939,-0.15674999999999994,0.5,0.0,0.958,LENTO,TRANSITORIO
7171,4,-0.8602606060606057,-0.7803749999999998,0.5,0.0,-1.577,VIOLENTO,TRANSITORIO
7177,6,0.20868484848484842,-0.05624999999999997,0.5,-0.08666954014590778,-1.957,LENTO,TRANSITORIO
7206,5,0.06468484848484851,-0.3045,0.5,0.0,-1.278,LENTO,TRANSITORIO
7280,4,0.023369696969697106,-0.40687500000000004,0.5,0.0,-3.898,LENTO,TRANSITORIO
7321,3,0.27649090909090884,0.2525,0.5,0.0,3.297,LENTO,TRANSITORIO
7442,3,-0.38307878787878774,0.41100000000000003,0.5,0.0,-2.911,LENTO,TRANSITORIO
7544,6,0.18521212121212124,-0.037499999999999964,0.5,0.0023696078699931545,-1.501,LENTO,TRANSITORIO
7604,5,0.34330303030303067,0.24925000000000008,0.5,0.0,-7.015,LENTO,TRANSITORIO
7737,5,0.561721212121212,-0.08075000000000003,0.5,0.0,0.223,LENTO,TRANSITORIO
7751,5,-0.10543636363636363,0.06075000000000001,0.5,0.0,-5.175,LENTO,TRANSITORIO
7844,7,0.1377212121212122,0.08337500000000012,0.5,0.11044150016272547,1.114,LENTO,TRANSITORIO
7853,7,0.355539393939394,-0.178125,0.5,0.03390022188309035,-0.492,LENTO,TRANSITORIO
7874,3,-0.23030909090909088,0.07012499999999994,0.5,0.0,0.533,LENTO,TRANSITORIO
8218,5,-0.42050303030303016,-0.18599999999999994,0.5,0.0,0.345,LENTO,TRANSITORIO
8224,5,-0.17601818181818174,0.10124999999999997,0.5,0.0,2.091,LENTO,TRANSITORIO
8246,6,-0.1784181818181818,-0.2995,0.5,-0.044174663969537155,0.95,LENTO,TRANSITORIO
8253,4,-0.16104242424242424,0.017000000000000043,0.5,0.0,-1.224,LENTO,TRANSITORIO
8258,3,-0.05739393939393941,-0.054625000000000035,0.5,0.0,-2.363,LENTO,TRANSITORIO
8284,4,0.4207090909090908,0.710625,0.5,0.0,3.04,LENTO,TRANSITORIO
8513,3,-0.21095757575757565,0.10699999999999998,0.5,0.0,-0.98,LENTO,TRANSITORIO
8526,3,-0.025593939393939353,0.013125000000000012,0.5,0.0,0.042,LENTO,TRANSITORIO
8530,6,0.15302424242424223,0.09012500000000001,0.5,-0.008612036206730976,0.598,LENTO,TRANSITORIO
8547,3,0.12910909090909084,-0.11075,0.5,0.0,1.518,LENTO,TRANSITORIO
8599,4,-0.5045393939393937,0.007374999999999965,0.5,0.0,0.882,LENTO,TRANSITORIO
8617,3,-0.29696363636363626,-0.05750000000000002,0.5,0.0,-2.494,LENTO,TRANSITORIO
8644,3,0.4455030303030301,0.06400000000000006,0.5,0.0,-2.481,LENTO,TRANSITORIO
