entry_date,entry_price,exit_date,exit_price,exit_reason,pct_return,hold_bars,signal_idx
2025-03-11 15:00:00,81232.24,2025-03-11 18:00:00,81882.09792,target,0.007999999999999938,3,772
2025-04-04 13:00:00,83335.99,2025-04-04 17:00:00,84002.67792,target,0.00799999999999996,4,1346
2025-04-14 14:00:00,85423.6,2025-04-14 15:00:00,84569.364,stop,-0.01000000000000005,1,1587
2025-05-16 09:00:00,103793.65,2025-05-17 13:00:00,102755.7135,stop,-0.009999999999999964,28,2350
2025-06-01 02:00:00,104195.12,2025-06-01 16:00:00,105028.68096,target,0.008000000000000024,14,2727
2025-10-31 17:00:00,109299.98,2025-11-01 03:00:00,110174.37984,target,0.007999999999999985,10,6390
2026-02-16 14:00:00,68427.64,2026-02-16 15:00:00,67743.3636,stop,-0.010000000000000037,1,8979
2026-03-18 00:00:00,73867.88,2026-03-18 11:00:00,73129.20120000001,stop,-0.00999999999999992,11,9685
