entry_date,entry_price,exit_date,exit_price,exit_reason,pct_return,hold_bars,ema,threshold,target,stop,is_win
2026-01-07 02:00:00,92949.77,2026-01-07 09:00:00,92252.64672500001,stop,-0.7499999999999901,7,10,-0.5,0.4,0.75,False
2026-01-09 20:00:00,90303.36,2026-01-10 01:00:00,90664.57344000001,target,0.40000000000000757,5,10,-0.5,0.4,0.75,True
2026-01-12 09:00:00,90685.64,2026-01-12 15:00:00,91048.38256,target,0.39999999999999863,6,10,-0.5,0.4,0.75,True
2026-02-03 03:00:00,78753.32,2026-02-03 10:00:00,78162.67010000002,stop,-0.7499999999999866,7,10,-0.5,0.4,0.75,False
2026-02-07 07:00:00,68087.14,2026-02-07 08:00:00,68359.48856,target,0.39999999999999786,1,10,-0.5,0.4,0.75,True
2026-02-09 00:00:00,70502.38,2026-02-09 03:00:00,70784.38952000001,target,0.40000000000000974,3,10,-0.5,0.4,0.75,True
2026-02-12 16:00:00,65863.37,2026-02-12 22:00:00,66126.82347999999,target,0.3999999999999947,6,10,-0.5,0.4,0.75,True
2026-02-16 14:00:00,68427.64,2026-02-16 15:00:00,67914.4327,stop,-0.7499999999999921,1,10,-0.5,0.4,0.75,False
2026-02-18 12:00:00,67458.06,2026-02-18 18:00:00,66952.12455000001,stop,-0.7499999999999851,6,10,-0.5,0.4,0.75,False
2026-03-01 09:00:00,66410.08,2026-03-01 13:00:00,66675.72032000001,target,0.40000000000000885,4,10,-0.5,0.4,0.75,True
2026-03-04 04:00:00,67786.0,2026-03-04 05:00:00,68057.144,target,0.40000000000000036,1,10,-0.5,0.4,0.75,True
2026-03-10 19:00:00,70043.63,2026-03-11 05:00:00,69518.302775,stop,-0.7500000000000012,10,10,-0.5,0.4,0.75,False
2026-03-12 15:00:00,70334.88,2026-03-13 00:00:00,70616.21952,target,0.3999999999999916,9,10,-0.5,0.4,0.75,True
2026-03-17 06:00:00,74085.45,2026-03-17 17:00:00,74381.79179999999,target,0.3999999999999928,11,10,-0.5,0.4,0.75,True
