percentil,umbral,señales,operaciones,win_rate,profit_factor,expectancy
0.1,-4.8635,7,7,0.2857142857142857,0.39999999999999974,-0.02142857142857146
0.2,-2.741,41,40,0.425,0.7391304347826086,-0.007500000000000003
0.25,-2.0965,57,56,0.42857142857142855,0.75,-0.007142857142857149
0.3,-1.4945,70,68,0.47058823529411764,0.8888888888888887,-0.002941176470588242
0.35,-0.9782500000000005,90,88,0.5,1.0000000000000004,6.938893903907228e-18
