timeframe,ema,trades,win_rate,profit_factor,total_return,avg_return,success_diff
1D,10,27,0.5185185185185185,0.5743589743589748,-29.049999999999972,-1.0759259259259248,-23.148148148148152
1D,55,16,0.5625,0.6857142857142867,-11.549999999999958,-0.7218749999999974,-18.75
1D,200,9,0.5555555555555556,0.6666666666666666,-7.0,-0.7777777777777778,-19.444444444444443
4H,10,69,0.6231884057971014,0.882051282051285,-5.519999999999873,-0.07999999999999816,-12.681159420289855
4H,55,56,0.5178571428571429,0.5728395061728413,-20.759999999999952,-0.37071428571428483,-23.214285714285708
4H,200,24,0.4583333333333333,0.4512820512820536,-12.839999999999952,-0.534999999999998,-29.166666666666668
1H,10,54,0.6851851851851852,1.1607843137255014,2.0500000000001273,0.03796296296296532,-6.481481481481477
1H,55,51,0.6862745098039216,1.1666666666666754,2.0000000000000933,0.039215686274511635,-6.372549019607843
1H,200,31,0.6129032258064516,0.8444444444444482,-1.399999999999959,-0.045161290322579324,-13.709677419354838
